transfer_id,path_type,cost_bps,terminal,cagr,sharpe,mdd,cumulative_l1_turnover,mean_actual_long_exposure,event_count
R9__MOM255__TOP50__MONTHLY,matched_static,20.0,1.3329329051352885,0.07448924371681764,0.4888520020072005,-0.2735180609323803,22.87478878290343,0.7331946570835666,222
R9__MOM255__TOP50__MONTHLY,naked,0.0,1.4966112654893928,0.10605634760724225,0.5330833184505378,-0.35369588574098,30.033787731155627,0.9992276705061012,48
R9__MOM255__TOP50__MONTHLY,naked,5.0,1.4743009554058792,0.10191104629086323,0.5178830442081083,-0.3578015978958836,30.03378773115562,0.9992276705061012,48
R9__MOM255__TOP50__MONTHLY,naked,10.0,1.4523158100539515,0.09777987867830995,0.5026676248516703,-0.361882733397783,30.03378773115562,0.9992276705061012,48
R9__MOM255__TOP50__MONTHLY,naked,20.0,1.4093025524225993,0.08955977071920662,0.4721950047749652,-0.3699718263000371,30.033787731155623,0.9992276705061012,48
R9__MOM255__TOP50__MONTHLY,p00_overlay,0.0,1.6856913601361898,0.13944801252121075,0.8581735375212881,-0.18792891604080053,38.17684366646744,0.7331946570835671,222
R9__MOM255__TOP50__MONTHLY,p00_overlay,5.0,1.6538150296200522,0.1340226623583609,0.8300739363260887,-0.18986913188092902,38.176843666467434,0.7331946570835671,222
R9__MOM255__TOP50__MONTHLY,p00_overlay,10.0,1.622533030273945,0.12862167520226375,0.8019241901892704,-0.19180523001266503,38.17684366646744,0.7331946570835671,222
R9__MOM255__TOP50__MONTHLY,p00_overlay,20.0,1.5617085254770209,0.11789237858078638,0.7454884900265281,-0.19566510384867186,38.17684366646744,0.7331946570835671,222
R9__MOM255__TOP50__WEEKLY,matched_static,0.0,1.2601621981672064,0.059513785900501714,0.4187937944211553,-0.2697930533603543,47.96135739090131,0.7329992730505996,209
R9__MOM255__TOP50__WEEKLY,matched_static,5.0,1.2303001725372988,0.0531804074404838,0.3844153908557063,-0.2704519652777134,47.96135739090132,0.7329992730505996,209
R9__MOM255__TOP50__WEEKLY,matched_static,10.0,1.2011419891662143,0.046884060158238094,0.35004265182868766,-0.275314251825158,47.96135739090131,0.7329992730505996,209
R9__MOM255__TOP50__WEEKLY,matched_static,20.0,1.1448715336684423,0.034401613442874845,0.28132289111596326,-0.2898343109624846,47.96135739090131,0.7329992730505996,209
R9__MOM255__TOP50__WEEKLY,naked,0.0,1.307146594870849,0.06925446872386942,0.4007252277307061,-0.35417543523545636,65.34386702912727,0.9998932932848229,208
R9__MOM255__TOP50__WEEKLY,naked,5.0,1.2651259946203415,0.06055560814429284,0.3664735906813269,-0.36303581217028547,65.34386702912727,0.9998932932848229,208
R9__MOM255__TOP50__WEEKLY,naked,10.0,1.224449024811842,0.05192597070628335,0.3322278111113512,-0.37177625899241784,65.34386702912727,0.9998932932848229,208
R9__MOM255__TOP50__WEEKLY,naked,20.0,1.1469563945538723,0.034872214783431055,0.26376246739844544,-0.3889037464529066,65.34386702912727,0.9998932932848229,208
R9__MOM255__TOP50__WEEKLY,p00_overlay,0.0,1.551534537251435,0.11606724364203602,0.7455444870634013,-0.19062359841167553,60.98853301304237,0.7329992730506013,209
R9__MOM255__TOP50__WEEKLY,p00_overlay,5.0,1.5049310435897238,0.1075903167606278,0.699495113656911,-0.1911196998815763,60.98853301304237,0.7329992730506013,209
R9__MOM255__TOP50__WEEKLY,p00_overlay,10.0,1.4597182694493265,0.09917605996651124,0.6534236217411087,-0.19161556358112342,60.98853301304237,0.7329992730506013,209
R9__MOM255__TOP50__WEEKLY,p00_overlay,20.0,1.3733011734159946,0.08253375650961114,0.561241104331698,-0.19382056790901592,60.98853301304237,0.7329992730506013,209
