attack_arm_id,cost_bps,common_start,mean_daily_target_weight,dynamic_cagr,dynamic_sharpe,dynamic_mdd,dynamic_ann_vol,dynamic_beta,dynamic_turnover,dynamic_cost,static_cagr,static_mdd,active_terminal_wealth
A4__RV_RATIO_LVL,10,2009-01-05,0.690403422982885,0.10596008871954865,0.8803462987558934,-0.2713169972047097,0.12303438106335197,0.6494503288250906,49.1211767529936,0.1042250710632084,0.11037464764671179,-0.24368121790481745,-0.050409442589886444
A4__RV_RATIO_LVL,20,2009-01-05,0.690403422982885,0.10178087241172329,0.8493592221057249,-0.2713169972047095,0.12306890647186419,0.6495587810453854,49.121176752993605,0.2025316836560803,0.1101139027166842,-0.24374445384239263,-0.09319925077678748
A4__DOWNSIDE_VAR63_LVL,0,2009-01-05,0.6237775061124694,0.09648356348702869,0.9477917675961696,-0.20028369491715226,0.10278231066065709,0.5537409826639015,41.558393175952965,0.0,0.10056690823012948,-0.22222549704010652,-0.04711737828859264
A4__DOWNSIDE_VAR63_LVL,5,2009-01-05,0.6237775061124694,0.09472999759653367,0.9321257172165918,-0.2009184676452077,0.10279333917087925,0.5538257599122682,41.55839317595296,0.04093327798889923,0.10043073782306933,-0.22226097790308919,-0.06521490068669378
A4__DOWNSIDE_VAR63_LVL,10,2009-01-05,0.6237775061124694,0.09297882133539637,0.9164310315081017,-0.201552885965118,0.10280795702188339,0.5539104564518628,41.558393175952965,0.08088862614475331,0.10029457557808019,-0.22229645752894622,-0.08297313243400639
A4__DOWNSIDE_VAR63_LVL,20,2009-01-05,0.6237775061124694,0.08948362689919942,0.8849624376868968,-0.20282065985372955,0.1028479542485734,0.5540796061698614,41.558393175952965,0.15794996453104193,0.10002227555825272,-0.222367413069409,-0.11749672122092136
A4__RET21_LVL,0,2009-01-05,0.6405867970660146,0.10342861472210307,0.9500118301134594,-0.18377291460590173,0.11000382624828432,0.5861974412755874,77.03681747655122,0.0,0.10311183209831865,-0.22766733167847408,0.0037350981501751424
A4__RET21_LVL,5,2009-01-05,0.6405867970660146,0.10015965722372067,0.922950787218264,-0.184020200091507,0.11001472570711276,0.5862627117052875,77.0368174765512,0.07519464357191441,0.10297671674273712,-0.22770195048684205,-0.032659332385676865
A4__RET21_LVL,10,2009-01-05,0.6405867970660146,0.09689958132590104,0.8958435315022181,-0.1842674621205147,0.11003195941489387,0.5863284563759362,77.0368174765512,0.1470159312803975,0.10284160879542892,-0.2277365681093304,-0.06774289645348919
A4__RET21_LVL,20,2009-01-05,0.6405867970660146,0.09040598652908027,0.841509300516372,-0.18476191581449697,0.11008541658450166,0.5864613674929389,77.03681747655122,0.2810836800420961,0.10257141510857837,-0.22780579979678695,-0.13416335684802239
