group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,target_gross_exposure,target_net_exposure,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,high_vol_rebalance_count,high_vol_rebalance_fraction,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G21,G21__mom_12_1__top20__weekly__long_short__rev20,long_short,mom_12_1,20,weekly,rev20,20.0,0.0,True,,False,1.0,0.0,True,5,0,2134.0,0.28266160503104354,0.02983287511203625,0.18780877887445788,0.25043219095362135,0.1020436078430352,0.14347603429478453,-0.3969859826554287,1483.0,0.07514843449253532,0.5253553173952483,27.544965207459956,0.47339767345816786,5.0,25.0,4.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0008633167611901941,0.5003088206990582,0.4994455039378682,0.9997543246369264,0.0008633167611901941,0.0,2134.0,-0.10792049867948897,-0.10153215522922188,0.25923123553061056,0.006864482707987868,-0.013780966114236223,0.2302248693187617,-0.46876125502352156,122,0.2747747747747748,0.0014451784266607502,0.0029450662016528018,0.1330121221014453,-0.007043922113455114,17.09669091380911
G21,G21__mom_12_1__top20__weekly__long_short__rev20,long_short,mom_12_1,20,weekly,rev20,20.0,0.01,True,,False,1.0,0.0,True,5,0,2134.0,0.2297735105515648,0.0247248760297738,0.18781886720012872,0.2239536103958547,0.07557284408343237,0.1061384104976912,-0.40449133836878004,1483.0,0.06112584790933597,0.5253859523318488,27.546571431352344,0.46466787243944907,5.0,25.0,4.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0008633712862616595,0.5003384264097087,0.4994750551234471,0.999813481533156,0.0008633712862616595,0.04155307968428727,2134.0,-0.11289114924341527,-0.105988580186555,0.25923160131056244,0.0018937754650451587,-0.018751660466199787,0.230233040567804,-0.49033426724939877,122,0.2747747747747748,0.0014446960310453005,0.0020250883308532697,0.1321916517464261,-0.0070468557843666735,17.09740882621245
G21,G21__mom_12_1__top20__weekly__long_short__rev20,long_short,mom_12_1,20,weekly,rev20,20.0,0.03,True,,False,1.0,0.0,True,5,0,2134.0,0.13182862795450134,0.014730834767800127,0.18783875447500586,0.1717729436348881,0.023407580957411248,0.032802271350125034,-0.41901232666757904,1483.0,0.035156089284902464,0.5254467051089521,27.549756767212013,0.4481291146669858,5.0,25.0,4.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0008634788053346699,0.5003967850483267,0.49953330624299214,0.9999300912913188,0.0008634788053346699,0.11844830716720088,2134.0,-0.1226882468684609,-0.1147077859239121,0.2592323269906186,-0.007903434606928227,-0.028548845003196377,0.23024914838704413,-0.5328499485358551,122,0.2747747747747748,0.0014436824815349265,0.0002102831620047485,0.13056986103583468,-0.007052639216028445,17.098820148572287
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,0.0,0.0,True,,False,1.0,0.0,True,7,0,2134.0,1.484060102551577,0.11343261982709318,0.1789363013765911,0.6900300212408252,0.5342681573670118,0.7668026432234757,-0.31883961160286056,1004.0,0.35576702423155093,0.6971263823660101,36.551113716105036,0.0,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0014893660882628642,0.5003270570855175,0.4988376909972547,0.9991647480827722,0.0014893660882628642,0.0,2134.0,-0.031482442813699815,-0.028596357321865454,0.21016458979426858,0.09090560485806645,0.06888856491217311,0.2310044444223676,-0.1362850091149651,122,0.2747747747747748,0.06331658464067629,0.32783787344253124,0.18427331573406291,-0.01570268643495079,26.10283942245419
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,0.0,0.01,True,,False,1.0,0.0,True,7,0,2134.0,1.381838944322011,0.10792118629661673,0.1789461897796975,0.6622616648784949,0.5065091906449838,0.7260927771843435,-0.3225615092497691,1007.0,0.3345755249832059,0.6971650358783422,36.55314036286596,0.0,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0014894787697324833,0.5003568571902111,0.4988673784204785,0.9992242356106894,0.0014894787697324833,0.06039057690404409,2134.0,-0.036444661086178116,-0.033404754805957546,0.21016057197570717,0.08594400916209367,0.06392685918539397,0.23101274449784548,-0.15776039181473825,122,0.2747747747747748,0.06301872426315994,0.3256579224886237,0.18575658903228698,-0.015705771532486285,26.10397775772607
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,0.0,0.03,True,,False,1.0,0.0,True,7,0,2134.0,1.1925094126755535,0.09713767606870594,0.17896568510453062,0.6075396658964082,0.4518056967832434,0.6461487550854952,-0.3298381031531441,1107.0,0.294501075346061,0.6972415667180265,36.55715296014365,0.0,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.001489700942431858,0.5004155991734776,0.4989258982310458,0.9993414974045235,0.001489700942431858,0.17138587252425003,2134.0,-0.04622511011801533,-0.04281272519385253,0.21015265711932768,0.0761647865678248,0.05414741983795188,0.23102910772504098,-0.2000834897957105,122,0.2747747747747748,0.06243572386557754,0.3213603080686248,0.19216212490140994,-0.015711851586385384,26.106216341503924
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,5.0,0.0,True,,False,1.0,0.0,True,7,0,2134.0,1.1277610175202586,0.09326082247512768,0.17885773910152777,0.588007403121893,0.4321857039319932,0.6171906439000752,-0.3297462824426973,1107.0,0.2828260012039237,0.6971263823660101,36.551113716105036,0.19967709215636062,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0014893660882628642,0.5003270570855175,0.4988376909972547,0.9991647480827722,0.0014893660882628642,0.0,2134.0,-0.04978418795600126,-0.04619504904162628,0.2103293966844933,0.0725783222515328,0.0505673441121489,0.23091731651935865,-0.2155931339684855,122,0.2747747747747748,0.04861720819887768,0.2526007098801367,0.17883169411821143,-0.01582414112739733,26.10283942245419
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,5.0,0.01,True,,False,1.0,0.0,True,7,0,2134.0,1.0401843461557272,0.08784813516321055,0.17886763783846343,0.5602288068002669,0.40441614309723645,0.5768438641475793,-0.3334094188263096,1108.0,0.26348426349939214,0.6971650358783422,36.55314036286596,0.19574825433718057,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0014894787697324833,0.5003568571902111,0.4988673784204785,0.9992242356106894,0.0014894787697324833,0.05484402771365582,2134.0,-0.05474705933191902,-0.05091729633153507,0.2103253777755742,0.06761607362107569,0.04560498546667413,0.2309256245404679,-0.23707658879720833,122,0.2747747747747748,0.04839138656525595,0.250404490142511,0.18215551889264636,-0.01582722789398816,26.10397775772607
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,5.0,0.03,True,,False,1.0,0.0,True,7,0,2134.0,0.877980600727825,0.07725783515596052,0.1788871530489031,0.5054865956812115,0.3496917389320333,0.4976132610465885,-0.3435159982118895,1166.0,0.22490316479614408,0.6972415667180265,36.55715296014365,0.18831670747436874,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.001489700942431858,0.5004155991734776,0.4989258982310458,0.9993414974045235,0.001489700942431858,0.15580159989758163,2134.0,-0.06452880464754977,-0.06015670230986399,0.21031746111645533,0.057835555022354705,0.03582425015605569,0.23094200300018328,-0.2794156273404218,122,0.2747747747747748,0.04794934763048272,0.24607483454051032,0.18553107750201991,-0.015833311636998,26.106216341503924
G21,G21__mom_12_1__top20__weekly__long_short__rev5,long_short,mom_12_1,20,weekly,rev5,10.0,0.0,True,,False,1.0,0.0,True,7,0,2134.0,0.8223409895908675,0.07343872522227768,0.17885392046402185,0.48569206271615,0.3298729119125174,0.46874430776440845,-0.3427140332925275,1166.0,0.21428572538082563,0.6971263823660101,36.551113716105036,0.3673265141808683,8.0,26.0,5.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0014893660882628642,0.5003270570855175,0.4988376909972547,0.9991647480827722,0.0014893660882628642,0.0,2134.0,-0.06808593309830266,-0.06348864825369963,0.21049420357471785,0.054251039644999194,0.032246123312124744,0.23088807664489983,-0.2948871768853493,122,0.2747747747747748,0.03424055733472958,0.1771269069296256,0.17310820166912622,-0.015877879827702862,26.10283942245419
