arm_id,quintile,weeks,cash_win_rate,mean_t1
R4B__KURT126,3,177,0.384180790960452,0.003791834470510615
R4B__KURT126,4,177,0.4067796610169492,8.228684631653262e-05
R4B__KURT126,5,177,0.384180790960452,0.0018301088802929668
R4B__VIX_LEVEL,1,180,0.45555555555555555,0.00011597478034034984
R4B__VIX_LEVEL,2,176,0.42045454545454547,2.9053878485677314e-05
R4B__VIX_LEVEL,3,176,0.3522727272727273,0.002730868476044876
R4B__VIX_LEVEL,4,177,0.4180790960451977,0.0026194373290348476
R4B__VIX_LEVEL,5,177,0.4293785310734463,0.0029414932032681843
R4B__VIX_RV_GAP,1,178,0.3707865168539326,0.00130325180779226
R4B__VIX_RV_GAP,2,177,0.4689265536723164,0.00020100152252823804
R4B__VIX_RV_GAP,3,177,0.3898305084745763,0.0012045171250292936
R4B__VIX_RV_GAP,4,177,0.4406779661016949,0.0005865448511492193
R4B__VIX_RV_GAP,5,177,0.4067796610169492,0.005120522248690168
R4B__DOWN_VOLUME21,1,178,0.3539325842696629,0.0022485326744419837
R4B__DOWN_VOLUME21,2,177,0.4576271186440678,0.001333811342875814
R4B__DOWN_VOLUME21,3,177,0.4519774011299435,-0.0008258099448411591
R4B__DOWN_VOLUME21,4,177,0.423728813559322,-3.367190141614977e-05
R4B__DOWN_VOLUME21,5,177,0.3898305084745763,0.0056876348142606125
R4B__VOLUME_SHOCK,1,178,0.4550561797752809,0.0019090579379769082
R4B__VOLUME_SHOCK,2,177,0.3954802259887006,0.0013117256483412844
R4B__VOLUME_SHOCK,3,177,0.423728813559322,0.0025155095320560437
R4B__VOLUME_SHOCK,4,177,0.3898305084745763,0.0017874033035468167
R4B__VOLUME_SHOCK,5,177,0.4124293785310734,0.0008887184997642575
R4B__YC_10Y3M,1,179,0.441340782122905,0.0008228517869009441
R4B__YC_10Y3M,2,176,0.45454545454545453,0.0007026678589182937
R4B__YC_10Y3M,3,180,0.36666666666666664,0.004011792181077304
R4B__YC_10Y3M,4,176,0.42045454545454547,0.0012991554603530824
R4B__YC_10Y3M,5,175,0.3942857142857143,0.0015381287567733202
R4B__YC_10Y2Y,1,180,0.45,0.0019466729442042276
R4B__YC_10Y2Y,2,176,0.4090909090909091,0.000679624891199651
R4B__YC_10Y2Y,3,176,0.4034090909090909,0.0024773971369847127
R4B__YC_10Y2Y,4,178,0.38202247191011235,0.002765056266266631
R4B__YC_10Y2Y,5,176,0.4318181818181818,0.0005266447543386797
R4B__RSP_SPY63,1,136,0.3897058823529412,0.0032283569286209934
R4B__RSP_SPY63,2,135,0.3925925925925926,0.004798807736504001
R4B__RSP_SPY63,3,135,0.35555555555555557,0.0053994450833972155
R4B__RSP_SPY63,4,135,0.3851851851851852,0.0019000032343323326
R4B__RSP_SPY63,5,136,0.4264705882352941,-0.0018008914555989435
