process_id,parent_process,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,economic_q
FS_RIDGE_A10_S1,FO_RIDGE_A10,monthly,-0.001828229625040255,0.7026594681063787,-0.011443889804417464,0.9188562287542491
FS_RIDGE_A100_S1,FO_RIDGE_A100,monthly,-0.0012161882634782594,0.6504699060187963,-0.015739770233601385,0.9188562287542491
FS_RIDGE_A01_S6,FO_RIDGE_A01,monthly,0.002411137789383999,0.2923415316936613,0.022281985447468323,0.9188562287542491
FS_RIDGE_A1_S6,FO_RIDGE_A1,monthly,0.00013489806191768926,0.4871025794841032,0.02018343030206742,0.9188562287542491
FS_RIDGE_A10_S6,FO_RIDGE_A10,monthly,-0.00267624003313414,0.7016596680663867,0.019222267013852816,0.9188562287542491
FS_RIDGE_A100_S6,FO_RIDGE_A100,monthly,-0.0055837983134486065,0.8548290341931614,0.01973195525938665,0.9188562287542491
FS_RIDGE_A01_S5,FO_RIDGE_A01,monthly,-0.002623277890840038,0.7294541091781643,0.0006555443919729598,0.9188562287542491
FS_RIDGE_A1_S5,FO_RIDGE_A1,monthly,-0.0046204143099483315,0.8290341931613677,-0.001224312433344405,0.9188562287542491
FS_RIDGE_A10_S5,FO_RIDGE_A10,monthly,-0.0038381603430096244,0.7736452709458108,0.006004299605347393,0.9188562287542491
FS_RIDGE_A100_S5,FO_RIDGE_A100,monthly,-0.0020763442198941822,0.6624675064987002,0.01700992004856402,0.9188562287542491
FS_LGBM_D2_N50_S2,FO_LGBM_D2_N50,monthly,-0.001766248221519552,0.8090381923615277,0.007239385243216232,0.9188562287542491
FS_LGBM_D2_N100_S2,FO_LGBM_D2_N100,monthly,-0.0016756772377100162,0.789242151569686,0.005729186727568379,0.9188562287542491
FS_LGBM_D2_N50_S1,FO_LGBM_D2_N50,monthly,-0.0015223226154232226,0.8614277144571085,0.0004983990670614577,0.9188562287542491
FS_LGBM_D2_N100_S1,FO_LGBM_D2_N100,monthly,-0.0029197660637986385,0.9420115976804639,-0.0009039772302555925,0.9454109178164367
FS_LGBM_D2_N50_S6,FO_LGBM_D2_N50,monthly,-0.0017211000563761684,0.762247550489902,0.0027645966908785347,0.9188562287542491
FS_LGBM_D2_N100_S6,FO_LGBM_D2_N100,monthly,-0.0018637253486820625,0.7858428314337133,-0.0005096270336053574,0.9188562287542491
FS_LGBM_D2_N50_S5,FO_LGBM_D2_N50,monthly,-0.001546237158538827,0.7468506298740252,-0.0035856775097677152,0.9188562287542491
FS_LGBM_D2_N100_S5,FO_LGBM_D2_N100,monthly,-0.003533745491083,0.9454109178164367,-0.004454861602083713,0.9454109178164367
