process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
FS_RIDGE_A100_S6,monthly,-0.0017181007394700557,0.6240751849630074,0.030953596891402143,0.07338532293541292,0.7505698860227954,0.5132973405318936
FS_RIDGE_A01_S5,monthly,-0.0016502465534680405,0.6476704659068186,0.004573004660147995,0.39632073585282945,0.7505698860227954,0.6086261008667833
FS_RIDGE_A1_S5,monthly,-0.00197660465126565,0.6622675464907019,0.004473437216971824,0.40211957608478305,0.7505698860227954,0.6086261008667833
FS_RIDGE_A10_S5,monthly,-0.0006566833785779435,0.5488902219556089,0.014991291587189448,0.20395920815836832,0.7505698860227954,0.5595803916139849
FS_RIDGE_A100_S5,monthly,0.0017893533540843675,0.35812837432513495,0.028231561680579522,0.09058188362327535,0.7505698860227954,0.5132973405318936
FS_LGBM_D2_N50_S2,monthly,2.280295662997798e-05,0.506498700259948,0.018387126206090877,0.08118376324735053,0.7505698860227954,0.5132973405318936
FS_LGBM_D2_N100_S2,monthly,-0.0008318367758286815,0.6334733053389322,0.011534636167509476,0.21095780843831233,0.7505698860227954,0.5595803916139849
FS_LGBM_D2_N50_S1,monthly,0.00026672856272630716,0.4477104579084183,0.011646140029936114,0.1949610077984403,0.7505698860227954,0.5595803916139849
FS_LGBM_D2_N100_S1,monthly,-0.0020759256019173035,0.7814437112577485,0.00490147220968551,0.3669266146770646,0.8570672962181758,0.6086261008667833
FS_LGBM_D2_N50_S6,monthly,6.79511217733604e-05,0.4911017796440712,0.013912337653753193,0.15216956608678264,0.7505698860227954,0.5595803916139849
FS_LGBM_D2_N100_S6,monthly,-0.0010198848868007283,0.6502699460107978,0.005295822406335743,0.38392321535692864,0.7505698860227954,0.6086261008667833
FS_LGBM_D2_N50_S5,monthly,0.00024281401961070252,0.46350729854029193,0.007562063453106941,0.3131373725254949,0.7505698860227954,0.6086261008667833
FS_LGBM_D2_N100_S5,monthly,-0.0026899050292016648,0.8354329134173165,0.0013505878378573845,0.48410317936412717,0.8876474705058988,0.6583803239352128
