frequency,signal_date,common_names,median_available_factors,minimum_available_factors
weekly,2016-03-18,424,13.0,10
weekly,2016-03-24,424,13.0,10
weekly,2016-04-01,425,13.0,10
weekly,2016-04-08,425,13.0,10
weekly,2016-04-15,425,13.0,10
weekly,2016-04-22,425,13.0,10
weekly,2016-04-29,425,13.0,10
weekly,2016-05-06,426,13.0,10
weekly,2016-05-13,427,13.0,10
weekly,2016-05-20,428,13.0,10
weekly,2016-05-27,429,13.0,10
weekly,2016-06-03,430,13.0,10
weekly,2016-06-10,430,13.0,10
weekly,2016-06-17,430,13.0,10
weekly,2016-06-24,431,13.0,10
weekly,2016-07-01,433,13.0,10
weekly,2016-07-08,434,13.0,10
weekly,2016-07-15,434,13.0,10
weekly,2016-07-22,435,13.0,10
weekly,2016-07-29,435,13.0,10
weekly,2016-08-05,435,13.0,10
weekly,2016-08-12,435,13.0,10
weekly,2016-08-19,435,13.0,10
weekly,2016-08-26,435,13.0,10
weekly,2016-09-02,435,13.0,10
weekly,2016-09-09,437,13.0,10
weekly,2016-09-16,437,13.0,10
weekly,2016-09-23,438,13.0,10
weekly,2016-09-30,438,13.0,10
weekly,2016-10-07,439,13.0,10
weekly,2016-10-14,439,13.0,10
weekly,2016-10-21,440,13.0,10
weekly,2016-10-28,440,13.0,10
weekly,2016-11-04,440,13.0,10
weekly,2016-11-11,440,13.0,10
weekly,2016-11-18,441,13.0,10
weekly,2016-11-25,441,13.0,10
weekly,2016-12-02,442,13.0,10
weekly,2016-12-09,442,13.0,10
weekly,2016-12-16,442,13.0,10
weekly,2016-12-23,442,13.0,10
weekly,2016-12-30,442,13.0,10
weekly,2017-01-06,443,13.0,10
weekly,2017-01-13,443,13.0,10
weekly,2017-01-20,443,13.0,10
weekly,2017-01-27,443,13.0,10
weekly,2017-02-03,443,13.0,10
weekly,2017-02-10,443,13.0,10
weekly,2017-02-17,443,13.0,10
weekly,2017-02-24,443,13.0,10
weekly,2017-03-03,445,13.0,10
weekly,2017-03-10,445,13.0,10
weekly,2017-03-17,446,13.0,10
weekly,2017-03-24,447,13.0,10
weekly,2017-03-31,447,13.0,10
weekly,2017-04-07,449,13.0,10
weekly,2017-04-13,449,13.0,10
weekly,2017-04-21,449,13.0,10
weekly,2017-04-28,449,13.0,10
weekly,2017-05-05,449,13.0,10
weekly,2017-05-12,449,13.0,10
weekly,2017-05-19,449,13.0,10
weekly,2017-05-26,449,13.0,10
weekly,2017-06-02,449,13.0,10
weekly,2017-06-09,449,13.0,10
weekly,2017-06-16,449,13.0,10
weekly,2017-06-23,450,13.0,10
weekly,2017-06-30,450,13.0,10
weekly,2017-07-07,451,13.0,10
weekly,2017-07-14,451,13.0,10
weekly,2017-07-21,451,13.0,10
weekly,2017-07-28,452,13.0,10
weekly,2017-08-04,452,13.0,10
weekly,2017-08-11,451,13.0,10
weekly,2017-08-18,451,13.0,10
weekly,2017-08-25,451,13.0,10
weekly,2017-09-01,451,13.0,10
weekly,2017-09-08,451,13.0,10
weekly,2017-09-15,451,13.0,10
weekly,2017-09-22,452,13.0,10
weekly,2017-09-29,452,13.0,10
weekly,2017-10-06,488,13.0,10
weekly,2017-10-13,489,13.0,10
weekly,2017-10-20,489,13.0,10
weekly,2017-10-27,489,13.0,10
weekly,2017-11-03,489,13.0,10
weekly,2017-11-10,490,13.0,10
weekly,2017-11-17,490,13.0,10
weekly,2017-11-24,490,13.0,10
weekly,2017-12-01,490,13.0,10
weekly,2017-12-08,490,13.0,10
weekly,2017-12-15,490,13.0,10
weekly,2017-12-22,490,13.0,10
weekly,2017-12-29,490,13.0,10
weekly,2018-01-05,491,13.0,10
weekly,2018-01-12,491,13.0,10
weekly,2018-01-19,491,13.0,10
weekly,2018-01-26,491,13.0,10
weekly,2018-02-02,491,13.0,10
weekly,2018-02-09,491,13.0,10
weekly,2018-02-16,492,13.0,10
