group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,base_target_gross_exposure,base_target_net_exposure,high_vol_rebalance_count,high_vol_rebalance_fraction,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,0.0,0.03,True,,False,True,0,0,2134.0,0.3708945079662862,0.03795504951093176,0.19443493108545437,0.288849459587133,0.14550372865746217,0.2036910399848613,-0.2678448148093836,588.0,0.14170537345642897,1.1107440222142737,13.37889613261279,0.0,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013280506849162265,0.503288005037343,0.5046160557222592,1.0079040607596021,-0.0013280506849162265,0.1552575182415542,2134.0,-0.09879143788444873,-0.09444604183802177,0.07463295536518377,0.044597760053825104,0.018793548830415688,0.26292772349406257,-0.3757361018138495,1.0,0.0,24,0.23529411764705882,-0.014088174404977838,-0.07018614750602153,0.18923679150425432,-0.03813243171376332,3.931675302903038
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,5.0,0.0,True,,False,True,0,0,2134.0,0.4694189396104105,0.046496812405891985,0.19442230513670686,0.33101512609950945,0.18765647874213234,0.2631129452085429,-0.2679216976139427,508.0,0.17354627422856506,1.1100095326888302,13.370049216604354,0.07271273571718097,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013255583204009017,0.5029607000245178,0.5042862583449186,1.0072469583694363,-0.0013255583204009017,0.0,2134.0,-0.09059713880195934,-0.08699386247547997,0.07455053474008945,0.05280483053053517,0.026998535203590714,0.2629299297070065,-0.34456761504068933,1.0,0.0,24,0.23529411764705882,-0.016291879554688013,-0.07175490935466197,0.17540879195416892,-0.03799157910542664,3.9299628844983854
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,5.0,0.01,True,,True,True,0,0,2134.0,0.40838993577571037,0.041267721595556583,0.19446244067350252,0.3052248075142636,0.16189809565793611,0.2267381890913608,-0.2683334762084798,588.0,0.15379266940027236,1.1102565626731846,13.37302468929313,0.07105741621758549,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013263963881379216,0.5030708135049078,0.5043972098930457,1.0074680233979534,-0.0013263963881379216,0.05301782670385641,2134.0,-0.09559910163001996,-0.09155593275310839,0.07454686488845261,0.04780343636016105,0.02199703507484429,0.2629601230206309,-0.363549805696279,1.0,0.0,24,0.23529411764705882,-0.016210768229762917,-0.0759551596266079,0.1819879427487564,-0.038001775460664994,3.930538948829426
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,5.0,0.03,True,,False,True,0,0,2134.0,0.29536949002161506,0.031032496887826166,0.1945416139636267,0.2543995004261953,0.1111357442809668,0.15529588391475935,-0.2691449412590742,607.0,0.11530031641187279,1.1107440222142737,13.37889613261279,0.06793293390870557,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013280506849162265,0.503288005037343,0.5046160557222592,1.0079040607596021,-0.0013280506849162265,0.1506241360067811,2134.0,-0.1054625732488913,-0.10048555668155228,0.07453965213736813,0.03794108238493061,0.012134472820918667,0.2630196878773146,-0.4009683613421527,1.0,0.0,24,0.23529411764705882,-0.016051961499486733,-0.0842337682503342,0.1947067839984306,-0.038021898061936094,3.931675302903038
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,10.0,0.0,True,,False,True,0,0,2134.0,0.3884638531911506,0.03951709829413308,0.19455152440719403,0.2965260873129364,0.15326603889430915,0.21449960199304724,-0.2692220475931326,588.0,0.14678254863381068,1.1100095326888302,13.370049216604354,0.14105763695618467,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013255583204009017,0.5029607000245178,0.5042862583449186,1.0072469583694363,-0.0013255583204009017,0.0,2134.0,-0.09726426034011118,-0.09308324731321499,0.07445719364956672,0.04615217255490411,0.02034347775164567,0.2630385616797569,-0.3697718681207209,1.0,0.0,24,0.23529411764705882,-0.018263852423477722,-0.08581803607230376,0.1810467260292093,-0.03786671871002176,3.9299628844983854
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,10.0,0.01,True,,False,True,0,0,2134.0,0.3307803363043431,0.03432134149194788,0.1945916711158017,0.27075305572823055,0.12752486676452568,0.17827096073732662,-0.26963336255833126,602.0,0.12728892732820832,1.1102565626731846,13.37302468929313,0.1378730064993551,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013263963881379216,0.5030708135049078,0.5043972098930457,1.0074680233979534,-0.0013263963881379216,0.051428832367099074,2134.0,-0.10226757307947751,-0.0976162356541675,0.07445353652682658,0.041149426500832566,0.01534062612102332,0.2630687687219551,-0.38874843857868596,1.0,0.0,24,0.23529411764705882,-0.018173163808251826,-0.09000111008926462,0.18754139020041827,-0.0378768988555524,3.930538948829426
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,10.0,0.03,True,,False,True,0,0,2134.0,0.22395741358891552,0.02415138403511574,0.1946708656811264,0.21996180008851293,0.07679641647256144,0.1071153432241952,-0.27044391384212496,715.0,0.08930274559335957,1.1107440222142737,13.37889613261279,0.1318607818318076,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013280506849162265,0.503288005037343,0.5046160557222592,1.0079040607596021,-0.0013280506849162265,0.1461644521301343,2134.0,-0.112133708613334,-0.1064889177936424,0.07444634890955246,0.031284404716035975,0.005475396811421505,0.26312836009158885,-0.42615592091366683,1.0,0.0,24,0.23529411764705882,-0.01799560715466756,-0.09824587934650686,0.20009665541645383,-0.03789698977579278,3.931675302903038
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,20.0,0.0,True,,False,True,0,0,2134.0,0.23954264066828146,0.02568279279548924,0.19487744373481325,0.22760642990210256,0.08459238677968767,0.11794901909128001,-0.27181928444159276,608.0,0.09448480761124156,1.1100095326888302,13.370049216604354,0.265618611948263,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013255583204009017,0.5029607000245178,0.5042862583449186,1.0072469583694363,-0.0013255583204009017,0.0,2134.0,-0.11059850341641496,-0.10515285486377501,0.07427051146852111,0.032846856603641894,0.00703336284775552,0.26330582127759894,-0.4200382007498908,1.0,0.0,24,0.23529411764705882,-0.02214709658223716,-0.11381834708609984,0.19207725585134516,-0.03757407645761615,3.9299628844983854
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,20.0,0.01,True,,False,True,0,0,2134.0,0.18801597563531414,0.020553134166155784,0.19491762568835902,0.2018768007048483,0.05889445246886605,0.0820246701665102,-0.27222967265649034,721.0,0.07549924284738241,1.1102565626731846,13.37302468929313,0.25972240532493573,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013263963881379216,0.5030708135049078,0.5043972098930457,1.0074680233979534,-0.0013263963881379216,0.0484275396065149,2134.0,-0.11560451597839258,-0.10962817648584447,0.07426687980357452,0.027841406782175608,0.0020278082133814127,0.26333606987851693,-0.4389999289946252,1.0,0.0,24,0.23529411764705882,-0.022037533709155316,-0.11796052667505796,0.19840591469805025,-0.03758421820154348,3.930538948829426
G23,G23__mom_12_1__top10__monthly__long_short__rev20,long_short,mom_12_1,10,monthly,rev20,20.0,0.03,True,,False,True,0,0,2134.0,0.09259832732202722,0.010512595118771673,0.1949968882835545,0.151171044679745,0.00825117649854981,0.011466072457464898,-0.2730383974083068,736.0,0.03850225909087408,1.1107440222142737,13.37889613261279,0.2485868596170926,3.0,23.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.0013280506849162265,0.503288005037343,0.5046160557222592,1.0079040607596021,-0.0013280506849162265,0.13773843371291372,2134.0,-0.1254759793422192,-0.11838794877147737,0.07425974245392118,0.017971049378246878,-0.007842755207572648,0.263395742113656,-0.47637816137542566,1.0,0.0,24,0.23529411764705882,-0.021823026197786727,-0.1261247269277473,0.2106397772916958,-0.0376042339489461,3.931675302903038
