process_id,bundle_id,family,outer_weeks,outer_complete,native_common_direction_match,spearman_y5,y5_capture,mae10_precision,mae10_lift,alert_fraction,block13_95_lower,block13_one_sided_p,block13_se,positive_full_year_fraction,raw_rsp_spearman_y5,rho_difference_vs_rsp,rho_difference_block_se,not_worse_than_rsp_one_se,is_multifactor,incremental_gate,bh_q_value
R7R__RB04__GAM,RB04,additive_spline_ridge,404,True,True,0.14474379632218298,0.2875591435966387,0.11702127659574468,1.0994557149925779,0.23267326732673269,0.012711396491779386,0.037,0.0803148238909977,0.6666666666666666,0.3850387788219442,-0.24029498249976122,0.0796384087468376,False,True,False,0.10529999999999999
R7R__RB04__LGBM,RB04,monotone_lightgbm,404,True,True,0.0061691641867486265,0.20578720042265933,0.09183673469387756,0.8628381585192217,0.24257425742574257,-0.1335723161593662,0.434,0.0901168502222302,0.3333333333333333,0.3850387788219442,-0.3788696146351956,0.10966382369748641,False,True,False,0.434
R7R__RB05__RIDGE,RB05,positive_ridge,404,True,True,0.15542890196420894,0.17888285452846792,0.0989010989010989,0.9292103245591617,0.22524752475247525,-0.013042898179296237,0.0645,0.09483621998431273,0.3333333333333333,0.3850387788219442,-0.22960987685773526,0.10724591062333358,False,True,False,0.11610000000000001
R7R__RB05__GAM,RB05,additive_spline_ridge,404,True,True,0.08088612119058096,0.18191584475687014,0.09803921568627451,0.9211126310989513,0.2524752475247525,-0.07915068239168259,0.209,0.09875290087913055,0.3333333333333333,0.3850387788219442,-0.30415265763136323,0.11622285273636049,False,True,False,0.24593478260869564
R7R__RB05__LGBM,RB05,monotone_lightgbm,404,True,True,0.07144740485133888,0.2077613703136437,0.0660377358490566,0.6204475647213691,0.2623762376237624,-0.08167267046425443,0.2095,0.09915146027839877,0.5,0.3850387788219442,-0.3135913739706053,0.09843347583453255,False,True,False,0.24593478260869564
R7R__RB06__RIDGE,RB06,positive_ridge,404,True,True,0.12482302863507391,0.18058586169872534,0.12,1.1274418604651162,0.18564356435643564,-0.029612957069471642,0.09,0.09053356200217509,0.5,0.3850387788219442,-0.26021575018687026,0.10163872867496522,False,True,False,0.14175
R7R__RB06__GAM,RB06,additive_spline_ridge,404,True,True,0.04024104222845779,0.15725371717886522,0.08695652173913043,0.8169868554095046,0.22772277227722773,-0.11361786266903774,0.3245,0.09698063972473042,0.5,0.3850387788219442,-0.3447977365934864,0.111779400805594,False,True,False,0.35046
R7R__RB06__LGBM,RB06,monotone_lightgbm,404,True,True,0.02381484297577767,0.22469525599119225,0.10526315789473684,0.988984088127295,0.23514851485148514,-0.11011475875876375,0.3375,0.0900388539406369,0.5,0.3850387788219442,-0.3612239358461665,0.09722760198172764,False,True,False,0.35048076923076926
R7R__RB07__RIDGE,RB07,positive_ridge,404,True,True,0.19589828121465735,0.13676911466239927,0.08333333333333333,0.7829457364341085,0.2079207920792079,0.025392914771100426,0.0285,0.09781002614552939,0.3333333333333333,0.3850387788219442,-0.18914049760728685,0.10687175781797537,False,True,False,0.10529999999999999
R7R__RB07__GAM,RB07,additive_spline_ridge,404,True,True,0.12760276264099213,0.12314582473794027,0.07,0.6576744186046513,0.24752475247524752,-0.038378004145645475,0.103,0.1008855812928094,0.3333333333333333,0.3850387788219442,-0.2574360161809521,0.11167705925218734,False,True,False,0.14636842105263156
R7R__RB07__LGBM,RB07,monotone_lightgbm,404,True,True,0.15779418605871776,0.664006470782988,0.18803418803418803,1.766646789902604,0.2896039603960396,0.01671753552158812,0.0355,0.09099657066837553,0.8333333333333334,0.3850387788219442,-0.22724459276322645,0.07123196712214308,False,True,False,0.10529999999999999
R7R__RB08__RIDGE,RB08,positive_ridge,404,True,True,0.17647523471344048,0.19633101925338467,0.1506849315068493,1.41573749601784,0.1806930693069307,0.0152129608377585,0.039,0.09542945659431223,0.5,0.3850387788219442,-0.20856354410850372,0.10398826289096126,False,True,False,0.10529999999999999
R7R__RB08__GAM,RB08,additive_spline_ridge,404,True,True,0.10740649220203291,0.13098091187954747,0.0963855421686747,0.9055757915382461,0.20544554455445543,-0.047376673511050967,0.1205,0.09551252295692678,0.5,0.3850387788219442,-0.2776322866199113,0.10619915890747152,False,True,False,0.162675
R7R__RB08__LGBM,RB08,monotone_lightgbm,404,True,True,0.1290617342532654,0.7556687100844889,0.2127659574468085,1.9990103908955963,0.349009900990099,-0.006790389187555018,0.0575,0.08887104798672445,0.8333333333333334,0.3850387788219442,-0.2559770445686788,0.06735972982543659,False,True,True,0.11610000000000001
