attack_arm_id,native_weeks,common_weeks,native_start,native_end,native_spearman_a4,spearman_a4,block4_95_lower_spearman,block4_one_sided_p,block8_spearman_a4,block8_95_lower_spearman,block8_one_sided_p_diagnostic,causal_diagnostic_weeks,top_fraction,positive_upside_capture,top_mean_a4,rest_mean_a4,top_median_a4,rest_median_a4,top_positive_rate,rest_positive_rate,b4_lift,auc_b4,top_median_w4,rest_median_w4,top_severe_w4_rate,rest_severe_w4_rate,bh_q_value,positive_rankic_year_fraction
A4__VIX_LEVEL_LVL,883,883,2004-12-31,2021-11-26,-0.1948966365849215,-0.1948966365849215,-0.28140871540322965,1.0,-0.1948966365849215,-0.2932933429106608,0.998,883,0.3318233295583239,0.20327835927508317,0.003974285811064293,0.008156491272955306,0.009759624307502799,0.018420305025849383,0.6484641638225256,0.6711864406779661,0.9771226222786521,0.47769791199825334,-0.012058827409066825,-0.018278538103776738,0.07849829351535836,0.17457627118644067,1.0,0.0
A4__VIX_RV_GAP_LVL,883,883,2004-12-31,2021-11-26,-0.06741569351845624,-0.06741569351845624,-0.155438687060632,0.917,-0.06741569351845624,-0.1577616143633676,0.9145,883,0.2740656851642129,0.29098375769111123,0.004749439514861844,0.007531093964257256,0.01439299166502722,0.013812823316076644,0.6570247933884298,0.6661466458658346,0.9900220009590163,0.48426816515553717,-0.015412392129242232,-0.015334639089971593,0.17768595041322313,0.1294851794071763,1.0,0.4117647058823529
A4__DOWN_VOLUME21_LVL,883,883,2004-12-31,2021-11-26,-0.1102124271609506,-0.1102124271609506,-0.18467525458556613,0.991,-0.1102124271609506,-0.18449575328218598,0.994,883,0.25254813137032844,0.2169964827331305,0.009284428066423104,0.005918739598292598,0.014259582939413632,0.013820505921630205,0.7085201793721974,0.6484848484848484,1.0676165842758538,0.46805368819020693,-0.010144076362970092,-0.017260648165094997,0.08968609865470852,0.1606060606060606,1.0,0.17647058823529413
A4__VOLUME_SHOCK_LVL,883,883,2004-12-31,2021-11-26,-0.037257781412068265,-0.037257781412068265,-0.12975503357434237,0.756,-0.037257781412068265,-0.14110050926124673,0.756,883,0.39750849377123443,0.3617800737080466,0.005563004319896462,0.007564250145492124,0.012085284174660184,0.01482964986952309,0.6495726495726496,0.6729323308270677,0.9787929173594703,0.5062915847898783,-0.01522209081497549,-0.0153469797391538,0.1225071225071225,0.15601503759398497,1.0,0.17647058823529413
A4__YC_10Y3M_LVL,883,883,2004-12-31,2021-11-26,-0.0009092623308763931,-0.0009092623308763931,-0.09060172804495123,0.4935,-0.0009092623308763931,-0.09907772498308863,0.523,883,0.15288788221970556,0.17731603257880357,1.543293554218631e-05,0.007987583084742343,0.015833852629046075,0.013796109886051615,0.6518518518518519,0.6657754010695187,0.9822272784730124,0.47082026177589315,-0.023881964238617992,-0.014884863886539751,0.2740740740740741,0.11898395721925134,1.0,0.29411764705882354
A4__YC_10Y2Y_LVL,883,883,2004-12-31,2021-11-26,0.04390548565391575,0.04390548565391575,-0.04464968282807469,0.1935,0.04390548565391575,-0.04916967943177137,0.2145,883,0.25141562853907135,0.3069011732179131,0.007307763381538534,0.006587703665633755,0.018671355755587093,0.01332231121476812,0.6801801801801802,0.6580937972768532,1.0249131383943673,0.4901460566989577,-0.01725766246240763,-0.01511133843194048,0.2072072072072072,0.12102874432677761,1.0,0.35294117647058826
A4__RSP_SPY63_LVL,883,883,2004-12-31,2021-11-26,0.11735515706413238,0.11735515706413238,0.030066634464223134,0.0145,0.11735515706413238,0.01805821848835136,0.0275,674,0.1572700296735905,0.2106235409444762,0.023466484720053634,0.008764679621108119,0.027341740781820507,0.014618267764736282,0.839622641509434,0.6725352112676056,1.2014982173616955,0.598799326451424,-0.012767966215814285,-0.015062364211799618,0.11320754716981132,0.1267605633802817,0.29000000000000004,0.5294117647058824
A4__SMA_GAP_D4,883,883,2004-12-31,2021-11-26,-0.06838684598327527,-0.06838684598327527,-0.16130015799839742,0.8875,-0.06838684598327527,-0.17327920189129745,0.868,883,0.2491506228765572,0.2568639586674883,0.005813186651812001,0.0070858137711716845,0.016742067127388655,0.013429802176840987,0.6727272727272727,0.6606334841628959,1.0136829041265902,0.47947621838406823,-0.015497068162571369,-0.015322668272185985,0.15,0.14027149321266968,1.0,0.29411764705882354
A4__RV_RATIO_D4,883,883,2004-12-31,2021-11-26,-0.014152363619896951,-0.014152363619896951,-0.08847321568386701,0.6035,-0.014152363619896951,-0.09168078518028255,0.571,883,0.2876557191392978,0.27708686872359933,0.009140195420148524,0.005811106449869224,0.013077646833971831,0.014386083590907888,0.6653543307086615,0.6629570747217806,1.0025731638493995,0.4908700198802588,-0.014234033282890326,-0.01577223643585752,0.1141732283464567,0.15421303656597773,1.0,0.47058823529411764
A4__RSP_SPY63_D4,883,883,2004-12-31,2021-11-26,0.042336370038911976,0.042336370038911976,-0.04365965305736178,0.2015,0.042336370038911976,-0.0542805091951398,0.2515,674,0.2522255192878338,0.2966767164614786,0.015318992880500435,0.009645945665535761,0.02159940586480822,0.014618267764736282,0.7352941176470589,0.6865079365079365,1.0522043212189336,0.5373327894742347,-0.012647965575974746,-0.015219738778375295,0.15294117647058825,0.11507936507936507,1.0,0.5294117647058824
