factor_id,frequency,top_k,cost_bps,path_type,maximum_abs_diff,identity_passed
XS001_MOM_255_0,weekly,50,10,factor_topk,1.7985612998927536e-14,True
XS001_MOM_255_0,weekly,50,20,factor_topk,9.769962616701378e-15,True
XS002_MOM_12_1,monthly,5,0,factor_topk,2.7755575615628914e-17,True
XS002_MOM_12_1,monthly,5,5,factor_topk,2.930988785010413e-14,True
XS002_MOM_12_1,monthly,5,10,factor_topk,6.927791673660977e-14,True
XS002_MOM_12_1,monthly,5,20,factor_topk,2.930988785010413e-14,True
XS002_MOM_12_1,monthly,10,0,factor_topk,1.7763568394002505e-15,True
XS002_MOM_12_1,monthly,10,5,factor_topk,7.283063041541027e-14,True
XS002_MOM_12_1,monthly,10,10,factor_topk,5.062616992290714e-14,True
XS002_MOM_12_1,monthly,10,20,factor_topk,8.881784197001252e-15,True
XS002_MOM_12_1,monthly,20,0,factor_topk,5.551115123125783e-17,True
XS002_MOM_12_1,monthly,20,5,factor_topk,4.1744385725905886e-14,True
XS002_MOM_12_1,monthly,20,10,factor_topk,3.9968028886505635e-14,True
XS002_MOM_12_1,monthly,20,20,factor_topk,3.2862601528904634e-14,True
XS002_MOM_12_1,monthly,50,0,factor_topk,5.551115123125783e-17,True
XS002_MOM_12_1,monthly,50,5,factor_topk,4.884981308350689e-15,True
XS002_MOM_12_1,monthly,50,10,factor_topk,6.084022174945858e-14,True
XS002_MOM_12_1,monthly,50,20,factor_topk,2.6201263381153694e-14,True
XS002_MOM_12_1,weekly,5,0,factor_topk,3.552713678800501e-15,True
XS002_MOM_12_1,weekly,5,5,factor_topk,3.552713678800501e-14,True
XS002_MOM_12_1,weekly,5,10,factor_topk,3.552713678800501e-15,True
XS002_MOM_12_1,weekly,5,20,factor_topk,4.1744385725905886e-14,True
XS002_MOM_12_1,weekly,10,0,factor_topk,8.326672684688674e-17,True
XS002_MOM_12_1,weekly,10,5,factor_topk,5.417888360170764e-14,True
XS002_MOM_12_1,weekly,10,10,factor_topk,7.238654120556021e-14,True
XS002_MOM_12_1,weekly,10,20,factor_topk,4.1744385725905886e-14,True
XS002_MOM_12_1,weekly,20,0,factor_topk,4.440892098500626e-16,True
XS002_MOM_12_1,weekly,20,5,factor_topk,7.638334409421077e-14,True
XS002_MOM_12_1,weekly,20,10,factor_topk,1.865174681370263e-14,True
XS002_MOM_12_1,weekly,20,20,factor_topk,8.837375276016246e-14,True
XS002_MOM_12_1,weekly,50,0,factor_topk,2.7755575615628914e-17,True
XS002_MOM_12_1,weekly,50,5,factor_topk,2.042810365310288e-14,True
XS002_MOM_12_1,weekly,50,10,factor_topk,3.064215547965432e-14,True
XS002_MOM_12_1,weekly,50,20,factor_topk,8.881784197001252e-15,True
XS003_MOM_12_7,monthly,5,0,factor_topk,5.551115123125783e-17,True
XS003_MOM_12_7,monthly,5,5,factor_topk,3.4638958368304884e-14,True
XS003_MOM_12_7,monthly,5,10,factor_topk,4.796163466380676e-14,True
XS003_MOM_12_7,monthly,5,20,factor_topk,1.2434497875801753e-14,True
XS003_MOM_12_7,monthly,10,0,factor_topk,5.551115123125783e-17,True
XS003_MOM_12_7,monthly,10,5,factor_topk,1.2434497875801753e-13,True
XS003_MOM_12_7,monthly,10,10,factor_topk,7.105427357601002e-14,True
XS003_MOM_12_7,monthly,10,20,factor_topk,1.2967404927621828e-13,True
XS003_MOM_12_7,monthly,20,0,factor_topk,1.7763568394002505e-15,True
XS003_MOM_12_7,monthly,20,5,factor_topk,7.37188088351104e-14,True
XS003_MOM_12_7,monthly,20,10,factor_topk,3.9968028886505635e-14,True
XS003_MOM_12_7,monthly,20,20,factor_topk,5.3290705182007514e-14,True
XS003_MOM_12_7,monthly,50,0,factor_topk,1.7763568394002505e-15,True
