factor_id,frequency,top_k,signal_date,selected_count,unique_sid_count,score_monotone,nested_passed
XS001_MOM_255_0,weekly,5,2021-06-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-06-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-07-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-07-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-07-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-07-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-07-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-08-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-08-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-08-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-08-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-09-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-09-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-09-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-09-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-10-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-10-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-10-15,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-10-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-10-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-11-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-11-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-11-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-11-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-12-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-12-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-12-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-12-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2021-12-31,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-01-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-01-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-01-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-01-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-02-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-02-11,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-02-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-02-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-03-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-03-11,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-03-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-03-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-04-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-04-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-04-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-04-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-04-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-05-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-05-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-05-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-05-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-06-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-06-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-06-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-06-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-07-01,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-07-08,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-07-15,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-07-22,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-07-29,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-08-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-08-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-08-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-08-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-09-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-09-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-09-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-09-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-09-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-10-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-10-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-10-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-10-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-11-04,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-11-11,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-11-18,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-11-25,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-12-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-12-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-12-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-12-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2022-12-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-01-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-01-13,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-01-20,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-01-27,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-02-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-02-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-02-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-02-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-03-03,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-03-10,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-03-17,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-03-24,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-03-31,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-04-06,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-04-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-04-21,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-04-28,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-05-05,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-05-12,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-05-19,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-05-26,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-06-02,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-06-09,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-06-16,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-06-23,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-06-30,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-07-07,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-07-14,5,5,True,True
XS001_MOM_255_0,weekly,5,2023-07-21,5,5,True,True
