observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,factor_id,frequency,top_k,cost_bps,path_type
2134.0,2.460509090470338,0.15788656869839768,0.23448047167373914,0.7431507250220988,0.6242906246790026,0.8625176790346788,-0.36891371773781445,502.0,0.42797695262339647,0.599786942389642,7.224425289214319,0.17767330367789697,7.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994242384114792,0.9994242384114792,0.0,0.9994242384114792,0.9994242384114792,0.0,XS001_MOM_255_0,monthly,50,20,factor_topk
2134.0,1.4623009238885207,0.11227641716818759,0.19781135864060195,0.637353907885834,0.49640322019805383,0.6945858571508412,-0.39657413706368316,488.0,0.28311583301802123,0.07072961806575727,0.8519372552775186,0.0,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,0,eligible_ew
2134.0,1.4534344549271045,0.11180270010915039,0.19781210938463306,0.6351979998180943,0.49424815565331504,0.6915156851373206,-0.39658930031359096,488.0,0.2819105306692485,0.07072961806575725,0.8519372552775185,0.005300980227976904,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,5,eligible_ew
2134.0,1.4445990525981527,0.11132913860950322,0.1978130670477726,0.6330414459313611,0.49209259262240623,0.6884458453671658,-0.3966044635634991,488.0,0.28070571271238015,0.07072961806575725,0.8519372552775185,0.010580107879124806,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,10,eligible_ew
2134.0,1.4270210230032632,0.11038248204542689,0.19781560311870713,0.6287264278523594,0.48777999821484724,0.6823071718470497,-0.3966347900633156,488.0,0.27829752913960554,0.07072961806575727,0.8519372552775186,0.021073129852690484,57.0,76.0,31.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9994609344994081,0.9994609344994081,0.0,0.9994609344994081,0.9994609344994081,0.0,XS001_MOM_255_0,monthly,0,20,eligible_ew
2134.0,8.14794375473142,0.2987359475502751,0.39726208739049823,0.8572858732371625,0.7871489713566479,1.1286623516217225,-0.4900217374224797,699.0,0.6096381542615432,0.40494574076390305,21.231756814710206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,5,0,factor_topk
2134.0,7.361332352743146,0.2850196167553336,0.3972905730301953,0.8305112820640602,0.7603790920666303,1.0889265392616716,-0.501775736940929,712.0,0.5680219185027817,0.4049457407639031,21.23175681471021,0.14440718290107052,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,5,5,factor_topk
2134.0,6.642155217498997,0.27144412646136273,0.39732587849993783,0.803726734416606,0.7336004446607727,1.0492782935282996,-0.5132624646871959,713.0,0.5288602715703989,0.40494574076390305,21.231756814710206,0.27226808229574406,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,5,10,factor_topk
2134.0,5.383541091183108,0.24471005987253225,0.39741694130819843,0.7501333113229238,0.6800223833477854,0.9702498112671533,-0.5354579523303067,733.0,0.4570107863886547,0.40494574076390305,21.231756814710206,0.4849287861822462,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,5,20,factor_topk
2134.0,4.772965619453827,0.23001995137247389,0.3462205444724096,0.7720292416153116,0.6915477630706203,0.9710950003273038,-0.48334945044183086,643.0,0.47588747884623045,0.38193879554623295,20.025477017842977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,XS002_MOM_12_1,weekly,10,0,factor_topk
