factor_id,frequency,signal_dates,median_rank_ic,mean_rank_ic,positive_fraction,block_sign_p,bh_q,active_terminal_return,active_sharpe,topk_positive_count,topk_tested_count,cost_positive_count,cost_tested_count,2018_2021_active_terminal,2018_2021_factor_sharpe,2022_2026h1_active_terminal,2022_2026h1_factor_sharpe,subperiods_active_positive,dimension,evidence_qualified,weak_dimension_floor,dimension_representative,status,g00_identity_gate_passed,interpretation_status
XS008_SAME_MONTH_5Y,weekly,443,0.0024113859494147,-0.0079755458178325,0.5056433408577878,0.894971277595058,0.894971277595058,-1.1149894083183374,-0.3247514058570048,0,4,0,4,-0.1656157831557614,0.4372962115004423,-0.3304378278035275,-0.0731229189702539,False,reversal_calendar,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS013_LOW_BETA_FP,monthly,101,-0.046819901652291,-0.0203206879143702,0.4059405940594059,0.769381348149444,0.8721372157276874,-1.002219519571511,-0.3112470694494716,0,4,0,4,-0.1649273120884313,0.51576929256785,-0.2887820634049372,-0.2307158100684385,False,low_risk_lottery,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS013_LOW_BETA_FP,weekly,443,-0.0106359467934011,-0.0087908995756805,0.4898419864559819,0.5619599877597182,0.7867439828636055,-1.1151337160404216,-0.3486388126491955,0,4,0,4,-0.1935533131557769,0.506212409530343,-0.3069012396438378,-0.2506706756886085,False,low_risk_lottery,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS015_MAX_21,monthly,101,0.000105762356216,-0.0102877690945816,0.504950495049505,0.6841553822053749,0.8707432137159317,-0.8671472514424703,-0.2415952827530772,0,4,0,4,-0.1895439181374698,0.4928888403235203,-0.20042645836199,-0.0261881751730175,False,low_risk_lottery,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS015_MAX_21,weekly,443,0.000346814110148,-0.0019950965322198,0.5033860045146726,0.3168064266793192,0.6803995589217516,-1.221220848830104,-0.3989848789366698,0,4,0,4,-0.2431724719985623,0.3805149314629957,-0.3159636726428306,-0.2636177911967186,False,low_risk_lottery,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS018_AMIHUD_252,monthly,101,-0.012001008004032,-0.0095876797729651,0.4356435643564356,0.8721372157276874,0.8721372157276874,-0.9152685272245054,-0.2750210507004392,0,4,0,4,-0.1768940034193044,0.4006155399271904,-0.2380759900152648,-0.0070836628900192,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS018_AMIHUD_252,weekly,443,-0.0055647669005233,-0.0040792186707737,0.4830699774266365,0.8007859236562507,0.8623848408605777,-0.8521355146822827,-0.2517682095943791,0,4,0,4,-0.1784932484065815,0.4067398316818951,-0.1944094103423334,0.0685834340750468,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS019_PRICE_DELAY_52W,monthly,101,-0.0266575560760074,-0.01396213252464,0.4554455445544554,0.8558876289527366,0.8721372157276874,-0.927840393850859,-0.2759765428231555,0,4,0,4,-0.1908970377120459,0.4811452132578506,-0.2313941803956721,-0.0946758880124161,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS019_PRICE_DELAY_52W,weekly,443,0.0022525475668313,-0.0059890620224354,0.5056433408577878,0.7856653835276963,0.8623848408605777,-0.8633014180474252,-0.227315483935662,0,4,0,4,-0.1288005633678158,0.6120672696033882,-0.2453182199441469,-0.0956374634058158,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS020_VOLUME_SHOCK_50D,monthly,101,-0.0018615313180686,0.0112598163244815,0.495049504950495,0.0975271894977055,0.707870326787748,-0.00707931908026,-0.0127562000219398,1,4,1,4,0.1953495125500601,0.8275092838514426,-0.165827647152012,0.0710857097218195,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS020_VOLUME_SHOCK_50D,weekly,443,0.00549455904416,0.0065231382534243,0.5372460496613995,0.0521736430939975,0.2513990903911591,-1.051487050213053,-0.3147450481593848,0,4,1,4,-0.3593380597114565,0.1945514107280898,-0.0879291328975431,0.2034390534497772,False,liquidity_attention,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS032_GROSS_PROFIT_AT,monthly,101,0.0110771401430245,0.0111850132773177,0.5643564356435643,0.1727236456367408,0.707870326787748,-0.255720634675729,-0.077290279211422,0,4,0,4,0.0247751142460288,0.7586832706283329,-0.1216517855839909,0.0857530844941535,False,operating_quality_cash,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS032_GROSS_PROFIT_AT,weekly,443,0.0028589456278149,0.0042170904114851,0.5011286681715575,0.3401997794608758,0.6803995589217516,-0.2251551926417598,-0.0668998185621704,0,4,0,4,0.0301758322582021,0.772087537670326,-0.1131005421846182,0.114008411079396,False,operating_quality_cash,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS041_ASSET_GROWTH,monthly,101,-0.0113497454380078,-0.0010664458416064,0.4752475247524752,0.6357917700377604,0.8707432137159317,1.4690326143739378,0.1881562490344639,4,4,4,4,0.0551413413394936,0.6225254100546977,0.5140045731373026,0.8154057789293581,True,investment_conservatism,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS041_ASSET_GROWTH,weekly,443,-0.0076554859525699,-0.0028775626277675,0.474040632054176,0.7924664492841316,0.8623848408605777,1.1470903582555183,0.130957200578106,4,4,4,4,0.0048395996710823,0.5799114854453047,0.448040272924205,0.771281157001536,True,investment_conservatism,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS056_CFO_ACCRUALS_PT,monthly,101,-0.0043365211766381,-0.0012868235925102,0.495049504950495,0.5572397206516598,0.8707432137159317,1.0663971461068231,0.088601292655403,2,4,4,4,-0.0260258811085312,0.5268880775861021,0.4718590436158865,0.671723077963581,False,operating_quality_cash,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
XS056_CFO_ACCRUALS_PT,weekly,443,-0.0010216512075817,5.221406549608725e-05,0.492099322799097,0.5269767243360785,0.7867439828636055,0.7783351253964943,0.0395419509184553,2,4,4,4,-0.0589721114950413,0.499317786590984,0.3912250399618877,0.6265471971988128,False,operating_quality_cash,False,False,False,not_advanced,False,provisional_g00_top50_identity_exception
