factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS002_MOM_12_1,monthly,2024,0.08783126895973599,0.04715831616477967,12
XS002_MOM_12_1,monthly,2025,-0.007225726252302594,-0.005687685336431779,12
XS002_MOM_12_1,monthly,2026,0.14230383531290725,0.14747377319088772,4
XS002_MOM_12_1,weekly,2017,0.09033256107586585,0.09033256107586585,1
XS002_MOM_12_1,weekly,2018,0.006357869066389331,0.006108328793155263,52
XS002_MOM_12_1,weekly,2019,-0.014477918194780974,0.008533690893777653,52
XS002_MOM_12_1,weekly,2020,0.009592747098426335,0.010321347205624984,53
XS002_MOM_12_1,weekly,2021,-0.04367259820846513,-0.03765030121133836,52
XS002_MOM_12_1,weekly,2022,-0.016751822301198014,0.017388588024894593,52
XS002_MOM_12_1,weekly,2023,0.019912881932199714,-0.0070694995635336095,52
XS002_MOM_12_1,weekly,2024,0.06310174347385714,0.042921348327408654,52
XS002_MOM_12_1,weekly,2025,0.03713948841564531,0.020917089315632745,52
XS002_MOM_12_1,weekly,2026,0.10251969586209156,0.06382206244153849,25
XS003_MOM_12_7,monthly,2017,0.1953599461055442,0.1953599461055442,1
XS003_MOM_12_7,monthly,2018,-0.04731692495169361,-0.026166154404061757,12
XS003_MOM_12_7,monthly,2019,-0.015049041161689546,0.0077967537974268225,12
XS003_MOM_12_7,monthly,2020,-0.01799171936839581,-0.04038198264979565,12
XS003_MOM_12_7,monthly,2021,-0.021557873595485555,-0.06474312961642308,12
XS003_MOM_12_7,monthly,2022,0.0583796272655093,0.016364463449124417,12
XS003_MOM_12_7,monthly,2023,0.025053714673276516,0.04538414014145382,12
XS003_MOM_12_7,monthly,2024,0.059730584587626256,0.056982613825914484,12
XS003_MOM_12_7,monthly,2025,0.02872883131411564,0.00104640197861748,12
XS003_MOM_12_7,monthly,2026,0.15737853481254802,0.1764834938819847,4
XS003_MOM_12_7,weekly,2017,0.1304353039316614,0.1304353039316614,1
XS003_MOM_12_7,weekly,2018,0.011506608703879248,-0.0037932109348223827,52
XS003_MOM_12_7,weekly,2019,0.025300705416203155,0.0190157716958644,52
XS003_MOM_12_7,weekly,2020,-0.03171956339670358,0.00409175552566426,53
XS003_MOM_12_7,weekly,2021,-0.05422601121729788,-0.02846822913100449,52
XS003_MOM_12_7,weekly,2022,0.04992030556956438,0.016889424358047474,52
XS003_MOM_12_7,weekly,2023,-0.0023406330733756666,-0.0035011648620386876,52
XS003_MOM_12_7,weekly,2024,0.044174979139910725,0.048224046508666615,52
XS003_MOM_12_7,weekly,2025,0.038696553447568366,0.008400515882181277,52
XS003_MOM_12_7,weekly,2026,0.06629654522705122,0.06245177310271754,25
XS004_HIGH_52W,monthly,2017,0.04457118364478115,0.04457118364478115,1
XS004_HIGH_52W,monthly,2018,0.021396318696559398,-0.0025606412532358284,12
XS004_HIGH_52W,monthly,2019,-0.05360538043198672,-0.015543976388992964,12
XS004_HIGH_52W,monthly,2020,-0.04719279696932705,-0.02740277666946528,12
XS004_HIGH_52W,monthly,2021,-0.004174323364659824,-0.01865541326099242,12
XS004_HIGH_52W,monthly,2022,0.16391741590398073,0.015123521026171463,12
XS004_HIGH_52W,monthly,2023,0.1007813319807393,0.027990318386019203,12
XS004_HIGH_52W,monthly,2024,0.05249323511132717,0.06022014972776837,12
XS004_HIGH_52W,monthly,2025,-0.013273106235928941,-0.016795168295714175,12
XS004_HIGH_52W,monthly,2026,0.002681616595011444,0.060782314187612534,4
XS004_HIGH_52W,weekly,2017,-0.1018227979712661,-0.1018227979712661,1
XS004_HIGH_52W,weekly,2018,0.008270211407153937,-0.0002998269054546182,52
XS004_HIGH_52W,weekly,2019,-0.011973058501134745,-0.0029537912200480925,52
XS004_HIGH_52W,weekly,2020,-0.02363600345700925,0.003325106208606275,53
XS004_HIGH_52W,weekly,2021,-0.01507425690986923,-0.029710593598456906,52
XS004_HIGH_52W,weekly,2022,-0.0005722760204009796,0.005077391177934339,52
XS004_HIGH_52W,weekly,2023,-0.017787409050313705,-0.029313374716099183,52
XS004_HIGH_52W,weekly,2024,0.01887306807157062,0.015463496623058993,52
XS004_HIGH_52W,weekly,2025,-0.015965851090365513,0.004649408750662809,52
XS004_HIGH_52W,weekly,2026,0.047735846420960557,0.022676026526584583,25
XS007_ST_REV_21,monthly,2017,-0.04840765440744089,-0.04840765440744089,1
XS007_ST_REV_21,monthly,2018,0.057730097477446105,0.05903581559091941,12
XS007_ST_REV_21,monthly,2019,0.07310567249044947,0.08529215859646332,12
XS007_ST_REV_21,monthly,2020,-0.09030079956464404,-0.04952262365031134,12
XS007_ST_REV_21,monthly,2021,-0.009584452795642505,0.0013002849119830237,12
XS007_ST_REV_21,monthly,2022,0.035687998751995006,0.020800043720583597,12
XS007_ST_REV_21,monthly,2023,-0.01214363450224885,-0.014282881227910446,12
XS007_ST_REV_21,monthly,2024,-0.006156414662299362,-0.04166140582422007,12
XS007_ST_REV_21,monthly,2025,-0.0009586759465970256,-0.035558105869643315,12
XS007_ST_REV_21,monthly,2026,-0.1202468136050932,-0.10859766479819691,4
XS007_ST_REV_21,weekly,2017,-0.044843786511342826,-0.044843786511342826,1
XS007_ST_REV_21,weekly,2018,-0.005241573371191487,0.014356051485780551,52
