transfer_id,frequency,top_k,path_type,cost_bps,peak_date,trough_date,recovery_date,depth,decline_sessions,recovery_sessions,duration_sessions,recovered
MONTHLY_TOP20,monthly,20,matched_static,10.0,2021-02-12,2021-03-08,2021-04-27,-0.11136538409034602,15,35,50,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2026-02-25,2026-03-30,2026-04-10,-0.10975419369611894,23,8,31,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2022-11-15,2023-03-17,2023-07-17,-0.09927305921214935,83,82,165,True
MONTHLY_TOP20,monthly,20,matched_static,10.0,2026-06-02,2026-06-10,2026-06-15,-0.09695235890262954,6,3,9,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2020-02-19,2020-03-23,2020-07-30,-0.2677081021009944,23,90,113,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2018-08-29,2018-12-24,2019-11-15,-0.22797645368517372,80,226,306,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2022-03-29,2022-05-11,2022-08-23,-0.17172543159257125,30,71,101,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2025-01-23,2025-04-08,2025-05-14,-0.16996609960284392,52,25,77,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2022-08-25,2022-09-26,2022-10-21,-0.1393072206961229,21,19,40,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2022-11-15,2023-10-27,2023-12-11,-0.11520338202734359,238,30,268,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2021-02-12,2021-03-08,2021-06-29,-0.11200078622565923,15,79,94,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2026-02-25,2026-03-30,2026-04-10,-0.11022077773212058,23,8,31,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2026-06-02,2026-06-10,2026-06-15,-0.0969560305414785,6,3,9,True
MONTHLY_TOP20,monthly,20,matched_static,20.0,2022-02-09,2022-03-08,2022-03-22,-0.09581878376403541,18,10,28,True
MONTHLY_TOP20,monthly,20,naked,0.0,2020-02-19,2020-03-23,2020-07-30,-0.34412172575429534,23,90,113,True
MONTHLY_TOP20,monthly,20,naked,0.0,2018-08-29,2018-12-24,2019-11-04,-0.29324226495019867,80,217,297,True
MONTHLY_TOP20,monthly,20,naked,0.0,2025-01-23,2025-04-08,2025-05-14,-0.2225145211783125,52,25,77,True
MONTHLY_TOP20,monthly,20,naked,0.0,2022-03-29,2022-05-11,2022-08-23,-0.22186917553280672,30,71,101,True
MONTHLY_TOP20,monthly,20,naked,0.0,2022-08-25,2022-09-26,2022-10-21,-0.18364558634766392,21,19,40,True
MONTHLY_TOP20,monthly,20,naked,0.0,2022-11-15,2023-10-27,2023-12-11,-0.15206804333974544,238,30,268,True
MONTHLY_TOP20,monthly,20,naked,0.0,2021-02-12,2021-03-08,2021-04-27,-0.14663458091139203,15,35,50,True
MONTHLY_TOP20,monthly,20,naked,0.0,2026-02-25,2026-03-30,2026-04-10,-0.14516457082033252,23,8,31,True
MONTHLY_TOP20,monthly,20,naked,0.0,2026-06-02,2026-06-10,2026-06-15,-0.12825543695283104,6,3,9,True
