transfer_id,path_type,cost_bps,terminal,cagr,sharpe,mdd,cumulative_l1_turnover,mean_actual_long_exposure
R10__MOM255__TOP10__WEEKLY,naked,0.0,4.918149195005478,0.4283214474618706,1.1725492897251808,-0.3112060549489447,79.41637410409521,1.0
R10__MOM255__TOP10__WEEKLY,naked,5.0,4.726663995418397,0.41568316518716997,1.1478228634575813,-0.31195601233023285,79.41637410409521,1.0
R10__MOM255__TOP10__WEEKLY,naked,10.0,4.542593936508251,0.40315393034827296,1.1230812420207419,-0.31270531326619844,79.41637410409521,1.0
R10__MOM255__TOP10__WEEKLY,naked,20.0,4.195567813283185,0.3784189419145081,1.0735562607107016,-0.31420194757785547,79.41637410409521,1.0
R10__MOM255__TOP10__WEEKLY,p00_overlay,0.0,4.186109891210103,0.3777229107817097,1.2475102963006324,-0.316533030586156,70.1949529101139,0.7446979752851876
R10__MOM255__TOP10__WEEKLY,p00_overlay,5.0,4.041720698376669,0.3669423033773662,1.2204066019521695,-0.31854884949559936,70.1949529101139,0.7446979752851876
R10__MOM255__TOP10__WEEKLY,p00_overlay,10.0,3.9022815298012947,0.3562436958344528,1.1932873410094882,-0.320559251988088,70.1949529101139,0.7446979752851876
R10__MOM255__TOP10__WEEKLY,p00_overlay,20.0,3.637584325993701,0.33509006059854407,1.1390079027518132,-0.32456386043595986,70.1949529101139,0.7446979752851876
R10__MOM255__TOP20__MONTHLY,matched_static,0.0,3.1589502953714157,0.2935946457658716,1.280769251720268,-0.17476912025183278,26.365207031926403,0.7335190407671438
R10__MOM255__TOP20__MONTHLY,matched_static,5.0,3.11757551861215,0.2897833519816808,1.2673674555903018,-0.17524525944073088,26.365207031926403,0.7335190407671438
R10__MOM255__TOP20__MONTHLY,matched_static,10.0,3.0767330414485246,0.2859823882046635,1.25394789265158,-0.17572124200926342,26.365207031926403,0.7335190407671438
R10__MOM255__TOP20__MONTHLY,matched_static,20.0,2.9966181694503815,0.2784113483063926,1.2270576836902627,-0.17667273735339295,26.365207031926406,0.7335190407671438
R10__MOM255__TOP20__MONTHLY,naked,0.0,4.23470246745532,0.38128607451192353,1.2277991974543656,-0.23687730774957338,34.089860831136065,0.999430524428007
R10__MOM255__TOP20__MONTHLY,naked,5.0,4.163121887974617,0.37602606538918804,1.2150823771445338,-0.23743258178942506,34.089860831136065,0.999430524428007
R10__MOM255__TOP20__MONTHLY,naked,10.0,4.092727567359145,0.370784310796882,1.202348631200899,-0.2379876539133602,34.08986083113606,0.999430524428007
R10__MOM255__TOP20__MONTHLY,naked,20.0,3.9554209409432692,0.36035533636319017,1.1768324731906925,-0.23909719241347638,34.089860831136065,0.999430524428007
R10__MOM255__TOP20__MONTHLY,p00_overlay,0.0,3.6304222480946993,0.3345013107578765,1.3236735558216906,-0.27024936417275947,38.801536130580544,0.7446614062485387
R10__MOM255__TOP20__MONTHLY,p00_overlay,5.0,3.5606589675122327,0.32871882117040685,1.3056444132529557,-0.2711596774891568,38.801536130580544,0.7446614062485388
R10__MOM255__TOP20__MONTHLY,p00_overlay,10.0,3.4922183619562435,0.3229598684698183,1.2875882241134606,-0.2720691163621948,38.801536130580544,0.7446614062485387
R10__MOM255__TOP20__MONTHLY,p00_overlay,20.0,3.3592066786123564,0.3115122152080132,1.2513987288139432,-0.27388537317467065,38.801536130580544,0.7446614062485388
R10__MOM255__TOP20__WEEKLY,matched_static,0.0,3.3270446278437786,0.3086914858076599,1.3449620797827968,-0.17462612850863346,51.75075471761407,0.733656173555943
R10__MOM255__TOP20__WEEKLY,matched_static,5.0,3.2420547592125653,0.30113433621371133,1.3184477556953675,-0.1753262473258268,51.75075471761408,0.733656173555943
R10__MOM255__TOP20__WEEKLY,matched_static,10.0,3.1592251018647253,0.2936198300665187,1.291911210761226,-0.17602587088033395,51.75075471761408,0.733656173555943
R10__MOM255__TOP20__WEEKLY,matched_static,20.0,2.9998292723114153,0.2787178091833391,1.2387757099826948,-0.1774236333346796,51.750754717614086,0.733656173555943
R10__MOM255__TOP20__WEEKLY,naked,0.0,4.578292492325369,0.4056142625698911,1.2959014448829655,-0.23595554205767755,70.36714306416815,1.0000000000000002
R10__MOM255__TOP20__WEEKLY,naked,5.0,4.419998484639664,0.3945887529583558,1.269454630193015,-0.23684931935019116,70.36714306416818,1.0000000000000002
R10__MOM255__TOP20__WEEKLY,naked,10.0,4.267150282283313,0.3836477529868729,1.2429861622630265,-0.23774222523602329,70.36714306416815,1.0000000000000002
R10__MOM255__TOP20__WEEKLY,naked,20.0,3.9770519700846823,0.36201675562632696,1.189988492508899,-0.2395254255340269,70.36714306416815,1.0000000000000002
R10__MOM255__TOP20__WEEKLY,p00_overlay,0.0,3.643426447800966,0.3355696391214946,1.3347733705777367,-0.24103014088583896,63.60003970334927,0.7448064540535367
R10__MOM255__TOP20__WEEKLY,p00_overlay,5.0,3.5293773567701026,0.3260973810980814,1.3048609138806764,-0.24224451556256743,63.60003970334927,0.7448064540535367
R10__MOM255__TOP20__WEEKLY,p00_overlay,10.0,3.418877232065747,0.316690486391525,1.274922238403633,-0.24345715039742832,63.60003970334927,0.7448064540535367
R10__MOM255__TOP20__WEEKLY,p00_overlay,20.0,3.2080881287220726,0.2980710350863156,1.214973718333968,-0.2458772094119509,63.60003970334927,0.7448064540535367
R10__MOM255__TOP50__MONTHLY,matched_static,0.0,2.167044728435366,0.18896094310121714,1.1388009235307832,-0.1598206952215091,24.117622998146025,0.7334360568552373
R10__MOM255__TOP50__MONTHLY,matched_static,5.0,2.141066907413527,0.18575618829557694,1.1222948974936406,-0.16022848788917876,24.117622998146032,0.7334360568552372
R10__MOM255__TOP50__MONTHLY,matched_static,10.0,2.1153950325302633,0.18255938763043522,1.1057669415342901,-0.16063616748874643,24.117622998146025,0.7334360568552372
R10__MOM255__TOP50__MONTHLY,matched_static,20.0,2.0649550054590833,0.17618957648009648,1.0726493317937054,-0.16145118752553278,24.117622998146025,0.7334360568552372
