cik10,companyfacts_error_code,companyfacts_http_status,companyfacts_object_key,companyfacts_raw_record_id,companyfacts_raw_sha256,companyfacts_raw_size_bytes,exception_review_status,exception_reviewed_date,explicit_missing,fact_value_state,imputation_applied,imputation_policy,imputed_fact_rows,periodic_form_amendments_included,periodic_form_bases,periodic_form_count,reason_code,schema_version,source,status,submissions_cik10,ticker
0000023217,,200,,3b398f7240982ef2e0b1e8ccad02e582aa8eb7a3d6bf5550f8ef85fb67949314,29ad17c5e0a24571d5a8a8734a6fc8d07a15b1656d9c4d3f71003cd70011070c,339809,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000023217,
0000024545,,200,,b2e68b38d24b58abf385a435e81cf776b95b30ccccf92f73d9c76a7f05e313a7,2536cd00dc5e531330be57275a788b1b5ddf41d1f0f3fdcadb0e3f95a34ff0f4,315628,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000024545,
0000024741,,200,,c87c7b6d512886f1f59e36e66be5869e66774bbc47d903ddf004342c7150dfe2,1103ce99182532ea16aa203638cc2ae0d353fbe5fb9de0e83a8e2cf5640ba2bd,299918,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000024741,
0000026172,,200,,5a067a10f6175818862f1e7e4e943c40473a773cc569a4e1ce7dd71003e05acf,3e117b8bb57d9dc89578b6cf1cf867f7cf6a5b0eda16631b27035c372540db05,339362,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000026172,
0000027419,,200,,870fcb91850da456cd85089452e8dea3babaa3a363ffdb07e5c1253a76bb591c,5dbe6a2e258e74c9075b1756856274ff77e26cc816dafbd108b29ac9af5f96c3,257133,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000027419,
0000027904,,200,,bfd761704c1814b2ab2910ca00c994b14f83ef84b73bd60928c0a3c60c4b8c63,a7c71c25b43e9b6edbf106c5c3ef3c92cd8a3bd8cb38ad58c97b174e199b6395,244898,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000027904,
0000028412,,200,,01c1f49b6adf3f936befba51eb0f1acfc6a53b5379f45d9b22f2613cac8b6a59,5b86299d6847b649fa66791335e1f6682caf806b01e7775fea5cb6c7c666121d,318061,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000028412,
0000029534,,200,,c9189556e703e245a5ee1bc620f25887db1f9952f70694548e1f47e7f89abe15,ae5407f02819210d7487e916c241c5bc75e659d2b9d7b3eedf6e5c260d8c2f0e,181391,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000029534,
0000029905,,200,,300ee6a0541030bc37d58dba7acfd836f60029a7384d79672357977f1eda275a,d1a71a71c379e54143753185d7b8d18c397a2192591244365315328fa11150fa,356555,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000029905,
0000029915,,200,,aa302104d9cae67021a22a7686560daa4bcee0bf17d6d9e945eb87d3efa64699,ce3a7c1f520a1ffb654e31584d07ba8bd64069e748c806103e0743ab15f61931,216561,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000029915,
0000029989,,200,,314b4ef2bf99f596298de48a27aeee18bf847e22f9c1298a4f2bde04ea5d8aab,60f9765d3111ada8e5f018bfc6e77657e910aafdc9f7c1db7ab01248a6df8263,252077,,,False,observed_source_available,False,none,0,True,10-K|10-Q|20-F|40-F,,companyfacts_http_success,cross_sectional_alpha.sec_source_applicability.v1,sec_companyfacts,available,0000029989,
