group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio,base_target_gross_exposure,base_target_net_exposure,high_vol_rebalance_count,high_vol_rebalance_fraction,average_q4_target_risk_allocation,minimum_q4_target_risk_allocation,delta_vs_g00_cagr,delta_vs_g00_sharpe_excess_rf,delta_vs_g00_max_drawdown,delta_vs_g00_annualized_volatility,delta_vs_g00_annualized_l1_turnover
G32,G32__mom_255_21__top20__monthly__long_short,long_short,mom_255_21,20,monthly,base,20.0,0.0,True,,False,True,0,0,2134.0,0.723786860005986,0.06641413865676915,0.15056172955407573,0.5025658011633747,0.31755220787309757,0.4359348089856048,-0.29814158343063424,996.0,0.22276040092280885,0.6514963679769908,7.847264593477307,0.138897168335723,6.0,28.0,4.0,0.0,0.0,0.9155280687611941,0.3234784319955673,1.0,0.22549019607843138,0.0,0.0013630781409376088,0.45983511483581374,0.4584720366948762,0.9183071515306899,0.0013630781409376088,0.0,2134.0,-0.07928668641545625,-0.0696171816346445,-0.0036633402520513843,0.07623482496015624,0.04828108823052265,0.24446061050026377,-0.3243331768386085,1.0,0.0,23,0.22549019607843138,0.6253853484192092,0.3234784319955673,0.014750696941031649,0.10375650935682237,0.13601337297649418,-0.04440429273885538,-0.644323646119334
G32,G32__mom_255_21__top20__monthly__long_short,long_short,mom_255_21,20,monthly,base,20.0,0.01,True,,False,True,0,0,2134.0,0.6586006634297052,0.06157063149132158,0.15058898199359344,0.47226671182828756,0.2872780865269162,0.3938613259489334,-0.3029310122981026,1053.0,0.20324968059305967,0.6516463964452758,7.849071684268682,0.1362015083349935,6.0,28.0,4.0,0.0,0.0,0.9155280687611941,0.3234784319955673,1.0,0.22549019607843138,0.0,0.001363298457882117,0.4599302600620718,0.4585669616041898,0.9184972216662616,0.001363298457882117,0.03973456117481455,2134.0,-0.08383569928966007,-0.07384285314818813,-0.00367479952786086,0.07168758774500229,0.04373342768605521,0.2444791219983826,-0.3429155774300217,1.0,0.0,23,0.22549019607843138,0.6253853484192092,0.3234784319955673,0.015155757110315582,0.09915049585763733,0.13677892488585808,-0.044419286551149656,-0.6446615724980918
G32,G32__mom_255_21__top20__monthly__long_short,long_short,mom_255_21,20,monthly,base,20.0,0.03,True,,False,True,0,0,2134.0,0.5371936146750074,0.05208401416207198,0.15064280033874194,0.41255309994190076,0.22761403292898946,0.3112615230442695,-0.3122792312063477,1069.0,0.16678667345525752,0.6519436377871753,7.852651952053211,0.13109007827667463,6.0,28.0,4.0,0.0,0.0,0.9155280687611941,0.3234784319955673,1.0,0.22549019607843138,0.0,0.0013637326456668907,0.4601179214102431,0.45875418876457624,0.9188721101748192,0.0013637326456668907,0.11347675301862463,2134.0,-0.09280570838966685,-0.08211936172735837,-0.0036973811412669547,0.06272107775321774,0.03476608329211531,0.24451567619720554,-0.3795491145312813,1.0,0.0,23,0.22549019607843138,0.6253853484192092,0.3234784319955673,0.015942624680475977,0.09006958672588786,0.1382262810772526,-0.04444880914923577,-0.6453305472702855
G32,G32__mom_255_21__top20__weekly__long_only,long_only,mom_255_21,20,weekly,base,0.0,0.0,True,,False,True,0,0,2134.0,2.4820145961161386,0.15873398085126245,0.27006256077894153,0.681732165670972,0.5785584511287375,0.7890831117622527,-0.383512063828333,894.0,0.41389566541070966,0.31846752529982403,16.697607530809144,0.0,0.0,0.0,0.0,0.0,0.0,0.9307031672889879,0.44758312024142327,1.0,0.41216216216216217,0.0,0.9310627069919741,0.9310627069919741,0.0,0.9310627069919741,0.9310627069919741,0.0,2134.0,0.029156471773132638,0.010926381938272202,1.05859577941362,0.02007682941780889,0.02172282813772319,0.1783147382063987,0.16351128384791236,1.0,1.0,183,0.41216216216216217,0.8318699796519704,0.44758312024142327,-0.05541983745503365,-0.1319997561508819,0.007064887214009052,-0.025830473058113146,-1.1629561755366353
G32,G32__mom_255_21__top20__weekly__long_only,long_only,mom_255_21,20,weekly,base,5.0,0.0,True,,False,True,0,0,2134.0,2.244315809193268,0.1490992922176959,0.27008595604375374,0.6507705511486797,0.547604637461118,0.7459381341823715,-0.39230135886692286,898.0,0.38006315514260974,0.31846752529982403,16.697607530809144,0.09019782520896413,0.0,0.0,0.0,0.0,0.0,0.9307031672889879,0.44758312024142327,1.0,0.41216216216216217,0.0,0.9310627069919741,0.9310627069919741,0.0,0.9310627069919741,0.9310627069919741,0.0,2134.0,0.020810123818767994,0.002520689965487791,1.0585915940472828,0.011731130002124869,0.013376985273345984,0.17835103310443895,0.11668070241332433,1.0,1.0,183,0.41216216216216217,0.8318699796519704,0.44758312024142327,-0.054258958456741585,-0.1327412294200241,0.0072871690049767235,-0.025816313440493066,-1.1629561755366318
G32,G32__mom_255_21__top20__weekly__long_only,long_only,mom_255_21,20,weekly,base,10.0,0.0,True,,True,True,0,0,2134.0,2.022802589550065,0.13954289480365345,0.27011422884233094,0.6198031078750428,0.5166468627690128,0.7028962988949318,-0.4009670780210147,942.0,0.34801584083254833,0.31846752529982403,16.697607530809144,0.17329407164940075,0.0,0.0,0.0,0.0,0.0,0.9307031672889879,0.44758312024142327,1.0,0.41216216216216217,0.0,0.9310627069919741,0.9310627069919741,0.0,0.9310627069919741,0.9310627069919741,0.0,2134.0,0.012463775864403557,-0.005816697581432691,1.0585874086809461,0.003385430586440876,0.005031142408968915,0.17839470903211935,0.06986628657332825,1.0,1.0,183,0.41216216216216217,0.8318699796519704,0.44758312024142327,-0.053113590475180245,-0.1334772733220565,0.007501600123614172,-0.025802398829048834,-1.1629561755366318
G32,G32__mom_255_21__top20__weekly__long_only,long_only,mom_255_21,20,weekly,base,20.0,0.0,True,,False,True,0,0,2134.0,1.6240099802013162,0.12066249244421567,0.2701854006518736,0.5578574647089225,0.45472615333792527,0.6171283100135593,-0.41793461783366037,1332.0,0.2887114091425655,0.31846752529982403,16.697607530809144,0.32026416110528133,0.0,0.0,0.0,0.0,0.0,0.9307031672889879,0.44758312024142327,1.0,0.41216216216216217,0.0,0.9310627069919741,0.9310627069919741,0.0,0.9310627069919741,0.9310627069919741,0.0,2134.0,-0.004228920044325029,-0.022288724088106053,1.0585790379482722,-0.013305968244926619,-0.0116605433197848,0.1785041813891518,-0.02369087385749067,1.0,1.0,183,0.41216216216216217,0.8318699796519704,0.44758312024142327,-0.05086869055188892,-0.1349326399599478,0.007907614978463151,-0.025775307765442512,-1.1629561755366353
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,0.0,0.0,True,,False,True,5,0,2134.0,0.7937832110407639,0.07143840957909231,0.15398863001394397,0.525351326593415,0.34447725570159676,0.47008461892409925,-0.3814350297465501,1127.0,0.1872885393524569,0.32513751091637655,17.047322315563044,0.0,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.000587948408569263,0.4615642501917639,0.46097630178319465,0.9225405519749584,0.000587948408569263,0.0,2134.0,-0.07405573159521563,-0.06523380450985242,-0.030450881898036596,0.08561661282942959,0.05692020510058827,0.2505542164681247,-0.2955676924504559,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.012997825524197211,0.09682412721001626,0.11919294859639473,-0.03792754629225542,-1.2784543578044136
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,0.0,0.01,True,,False,True,5,0,2134.0,0.7254879166640305,0.06653835488262416,0.1539966085363317,0.49555980376113984,0.3146856020332317,0.42888821664063204,-0.3840380475737818,1139.0,0.17325979887407053,0.32515722460188895,17.04835592608067,0.0,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005880289187690976,0.4615902392650242,0.46100221034625505,0.9225924496112793,0.0005880289187690976,0.0427129677858407,2134.0,-0.07863933354719804,-0.06950881037613489,-0.030461703863125352,0.08103468778273916,0.052337880556212364,0.25056071048326933,-0.3138534105986622,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.01335013988454816,0.09296574514629741,0.11988619378747123,-0.03793204243060208,-1.2786746923515722
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,0.0,0.03,True,,False,True,5,0,2134.0,0.5983958111050072,0.05694574647120598,0.1540123938444878,0.43685050847038465,0.25597633334577424,0.34800611386834346,-0.3891364950964197,1206.0,0.14633874537286987,0.32519643219305344,17.050411623812728,0.0,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005881876899216032,0.4616414683513095,0.46105328066138784,0.9226947490126973,0.0005881876899216032,0.12190198315664337,2134.0,-0.08767347009163802,-0.07787778986147251,-0.03048303535091752,0.07200385663472873,0.04330626194688006,0.25057354730052384,-0.3498911638365697,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.01403396810013758,0.08536062833031785,0.1212213196615034,-0.037940849431757795,-1.2791141359803646
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,5.0,0.0,True,,False,True,5,0,2134.0,0.6688577583762016,0.06234376808513198,0.154008568514717,0.4699416796785666,0.28907396072823305,0.3935047084362969,-0.38719666652756635,1161.0,0.16101318393115205,0.32513751091637655,17.047322315563044,0.07755128952775547,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.000587948408569263,0.4615642501917639,0.46097630178319465,0.9225405519749584,0.000587948408569263,0.0,2134.0,-0.08257881728064596,-0.07316833751954432,-0.03039408112597488,0.0770847256449666,0.048389875010416465,0.2505581236245462,-0.32957948473619564,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.013558227129601981,0.08918643979168545,0.11997270754548928,-0.037952546688679506,-1.2784543578044136
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,5.0,0.01,True,,False,True,5,0,2134.0,0.6053117646897381,0.05748475968085631,0.15401658761707585,0.4401544604450004,0.2592867372176622,0.3525117013467268,-0.389775774304964,1206.0,0.14748161243053481,0.32515722460188895,17.04835592608067,0.07602952866495093,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005880289187690976,0.4615902392650242,0.46100221034625505,0.9225924496112793,0.0005880289187690976,0.04109292910746726,2134.0,-0.08716277463116952,-0.07740753294068267,-0.03040493941269526,0.07250245082791218,0.043807199675141864,0.25056464845466647,-0.34786541185573305,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.013904330356222815,0.0853256583894712,0.12064741193584416,-0.03795701314384875,-1.2786746923515722
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,5.0,0.03,True,,False,True,5,0,2134.0,0.4870583776734916,0.04797250332186764,0.15403245252845302,0.381453653368365,0.20058620563021007,0.27202896266731375,-0.3948273867919967,1502.0,0.12150247152723617,0.32519643219305344,17.050411623812728,0.07314521906762736,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005881876899216032,0.4616414683513095,0.46105328066138784,0.9226947490126973,0.0005881876899216032,0.1173371243219799,2134.0,-0.096197620899076,-0.08570641004619109,-0.030426342801691517,0.06347092109780451,0.03477488046365255,0.2505775458275292,-0.38390359591632434,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.014576052581011946,0.07771587421586837,0.1219465107360278,-0.037965761764408495,-1.2791141359803646
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,10.0,0.0,True,,False,True,5,0,2134.0,0.5526109017483691,0.053324589171912073,0.15403731885242705,0.4145226634880596,0.2336716774200376,0.3173052019297314,-0.39290595528462624,1220.0,0.13571845489917056,0.32513751091637655,17.047322315563044,0.14939461786944308,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.000587948408569263,0.4615642501917639,0.46097630178319465,0.9225405519749584,0.000587948408569263,0.0,2134.0,-0.0911019029660761,-0.08103703392223079,-0.03033728035391283,0.06855283846050374,0.03985954492024483,0.25056744932145897,-0.3635823536248689,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.014107936171676272,0.08153371470799922,0.12072075337021404,-0.037976575227475856,-1.27845435780441
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,10.0,0.01,True,,True,True,5,0,2134.0,0.49348476222050897,0.048506291020105285,0.15404537876543772,0.38474147951200904,0.2038906164650709,0.2765165741843352,-0.3954613672210733,1502.0,0.12265747059178349,0.32515722460188895,17.04835592608067,0.14649920715027054,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005880289187690976,0.4615902392650242,0.46100221034625505,0.9225924496112793,0.0005880289187690976,0.03955318642934956,2134.0,-0.09568621571514134,-0.08524071207286929,-0.030348174962264805,0.06397021387308474,0.03527651879407097,0.2505740052555392,-0.38186808570808883,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.014447908074919184,0.07767120653559659,0.12137723890000018,-0.037981011993249575,-1.2786746923515722
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,10.0,0.03,True,,False,True,5,0,2134.0,0.3834569300788897,0.039073728905067995,0.15406132374984316,0.32605257260020265,0.1452022353566121,0.1964351159345059,-0.40046656429316163,1514.0,0.09757051496679774,0.32519643219305344,17.050411623812728,0.14101002488864206,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005881876899216032,0.4616414683513095,0.46105328066138784,0.9226947490126973,0.0005881876899216032,0.11299723212217425,2134.0,-0.1047217717065146,-0.09347006069726765,-0.030369650252465685,0.05493798556087971,0.026243498980424416,0.25058696376414014,-0.41790590433539804,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.015107680074618896,0.07005808021644411,0.12264093763702189,-0.03798970222620815,-1.2791141359803646
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,20.0,0.0,True,,False,True,5,0,2134.0,0.3437889478715179,0.03551017651727628,0.15412123380171014,0.3036946121040452,0.12290819459837993,0.1660828084882527,-0.40467095296323297,1528.0,0.08775074231854396,0.32513751091637655,17.047322315563044,0.27758819807704843,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.000587948408569263,0.4615642501917639,0.46097630178319465,0.9225405519749584,0.000587948408569263,0.0,2134.0,-0.10814807433693645,-0.09657904790379722,-0.03022367880978927,0.05148906409157808,0.022798884739901566,0.25060235356558824,-0.43155250857862226,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.015175834750912783,0.06619785689466963,0.1220212665581698,-0.03802171116711267,-1.27845435780441
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,20.0,0.01,True,,False,True,5,0,2134.0,0.2926037867840878,0.030772301481305053,0.15412937600059368,0.2739306799639318,0.0931446420234493,0.12570586512100704,-0.40870962914502384,1531.0,0.07529135426947822,0.32515722460188895,17.04835592608067,0.2723426925284401,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005880289187690976,0.4615902392650242,0.46100221034625505,0.9225924496112793,0.0005880289187690976,0.036697316552940215,2134.0,-0.11273309788308453,-0.10071256167601934,-0.030234646061404625,0.04690573996343048,0.01821515703192972,0.25060897256637776,-0.44983663884271097,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.015503779887815754,0.0623339110308241,0.12232477433126254,-0.038026088558420434,-1.2786746923515722
G32,G32__mom_255_21__top20__weekly__long_short,long_short,mom_255_21,20,weekly,base,20.0,0.03,True,,False,True,5,0,2134.0,0.1973543664004218,0.02149717543242846,0.15414548248655152,0.21527578231069738,0.0344907745577056,0.04643275869353733,-0.4221039505938744,1562.0,0.05092862884174207,0.32519643219305344,17.050411623812728,0.26239338597031775,5.0,28.0,4.0,8.0,1.0,0.9221843912941726,0.3551300826213856,1.0,0.25,0.0,0.0005881876899216032,0.4616414683513095,0.46105328066138784,0.9226947490126973,0.0005881876899216032,0.10494410814113136,2134.0,-0.12177007332139138,-0.10880455670987851,-0.030256265154013872,0.03787211448703049,0.009180736013968589,0.2506220550707909,-0.4858713383664344,1.0,0.0,111,0.25,0.6887375651766904,0.3551300826213856,0.01614011180028376,0.0547180723030822,0.12172554143679504,-0.03803466204027439,-1.2791141359803646
