arm_id,quintile,weeks,mean_y5,median_y5,mean_raw_mae,mae10_rate
R4B__YC_10Y3M,2,175,0.03937454184049066,0.0,0.0734455113551492,0.25142857142857145
R4B__YC_10Y3M,3,176,0.0019351661247171193,0.0,0.023468534435982777,0.005681818181818182
R4B__YC_10Y3M,4,173,0.014872341413565917,0.0,0.04241633597113862,0.12138728323699421
R4B__YC_10Y3M,5,175,0.023004012011139753,0.0,0.050528527238865126,0.09714285714285714
R4B__YC_10Y2Y,1,175,0.01677812731577089,0.0,0.045518446368618716,0.14285714285714285
R4B__YC_10Y2Y,2,175,0.03076937810370691,0.0,0.06352178144303368,0.18285714285714286
R4B__YC_10Y2Y,3,174,0.02331527679251223,0.0,0.04795733058069317,0.15517241379310345
R4B__YC_10Y2Y,4,177,0.013590767543692194,0.0,0.040659012519732016,0.0903954802259887
R4B__YC_10Y2Y,5,173,0.02219993952929237,0.0,0.0505202335158341,0.10404624277456648
R4B__RSP_SPY63,1,175,0.012052831024847875,0.0,0.03827508097562645,0.07428571428571429
R4B__RSP_SPY63,2,175,0.013051772449787072,0.0,0.0381187136345125,0.09714285714285714
R4B__RSP_SPY63,3,174,0.019377631137541457,0.0,0.046649439983415676,0.09195402298850575
R4B__RSP_SPY63,4,175,0.02036396284049419,0.0,0.049803765170888234,0.12571428571428572
R4B__RSP_SPY63,5,175,0.041686400463011586,0.0,0.07520963133438607,0.2857142857142857
