group_id,strategy_id,portfolio_mode,signal,top_n,frequency,variant_id,cost_bps,borrow_fee_annual,valid_scenario,invalid_reason,is_primary_scenario,target_gross_exposure,target_net_exposure,collateralized_total_return,signed_skipped_rebalance_count,terminal_last_close_count,observations,total_return,cagr,annualized_volatility,sharpe_zero_rf,sharpe_excess_rf,sortino,max_drawdown,max_drawdown_duration,calmar,average_l1_turnover,annualized_l1_turnover,total_cost,corporate_action_events_applied,valuation_fallback_count,valuation_fallback_sid_count,unfilled_execution_count,skipped_signed_rebalance_count,average_target_risk_allocation,minimum_target_risk_allocation,maximum_target_risk_allocation,below_full_investment_fraction,leveraged_rebalance_fraction,average_actual_risky_weight,average_long_exposure,average_short_exposure,average_gross_exposure,average_net_exposure,total_short_borrow_fee,relative_observations,annualized_excess_return,geometric_excess_return,beta,annualized_alpha_zero_rf,annualized_alpha_excess_rf,tracking_error,information_ratio
G00,G00__mom_12_1__top10__weekly__long_only,long_only,mom_12_1,10,weekly,base,10.0,0.0,True,,True,1.0,1.0,True,0,0,2134.0,4.992919910484587,0.23546329680674738,0.3412281027888344,0.7913929309409066,0.7097383367522293,0.9932586103034045,-0.39729827072287405,467.0,0.5926612677632045,0.20336383035276287,10.66259243229144,0.1283533733082713,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.11509164573211692,0.07786813996843618,1.2613613693227872,0.07459269200718392,0.08189218363471455,0.24569566161121406,0.4684317377741761
G00,G00__mom_12_1__top10__weekly__long_only,long_only,mom_12_1,10,weekly,base,20.0,0.0,True,,False,1.0,1.0,True,0,0,2134.0,4.47501923124639,0.2223471281021936,0.34129334243346365,0.760025641304763,0.6783859661480265,0.9478632479095283,-0.3980479659005881,488.0,0.5585938056463388,0.20336383035276287,10.66259243229144,0.24334003478765012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2134.0,0.1044378288026957,0.06642506399715728,1.2614280889130443,0.06392853661953762,0.07122993766466897,0.24577626420026996,0.4249304917320856
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,0.0,0.0,True,,False,1.0,0.0,True,4,0,2134.0,0.44409827929440504,0.04435097523935605,0.22949319336813817,0.305209902094804,0.1838095149101118,0.24406615228016446,-0.559527348879941,1533.0,0.07926507136449648,0.2235373066635787,11.720310294271085,0.0,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00046901995911277004,0.5006810010466674,0.5002119810875545,1.000892982134222,0.00046901995911277004,0.0,2134.0,-0.08491026757403032,-0.08886597759322494,-0.05519464788986738,0.07859621896763953,0.04922044482427936,0.3058664597970901,-0.2776056833114663
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,0.0,0.01,True,,False,1.0,0.0,True,4,0,2134.0,0.3845002008734917,0.03916622843521611,0.22950814481701431,0.2835189731568619,0.16212227047581143,0.21509058422792762,-0.565786039584454,1533.0,0.06922445181571121,0.22355573081970231,11.721276293324673,0.0,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004690752835965871,0.5007104919738307,0.500241416690234,1.0009519086640648,0.0004690752835965871,0.034969364668063385,2134.0,-0.0898839491036874,-0.09338936036665686,-0.05522142282733799,0.0736266863179658,0.044250174785340726,0.30588090132787343,-0.29385276659473714
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,0.0,0.03,True,,False,1.0,0.0,True,4,0,2134.0,0.27413573756877674,0.02902214603444664,0.2295376207691481,0.24077488005677236,0.11938543866823592,0.15813165157166292,-0.577862983022362,1557.0,0.05022323091652947,0.22359250951742962,11.723204641464932,0.0,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004691844068381166,0.5007686240789171,0.5002994396720789,1.0010680637509959,0.0004691844068381166,0.09988151480153913,2134.0,-0.09968696954413513,-0.10223946806088337,-0.05527419766420789,0.06383184354234196,0.03445387857495591,0.3059093708883389,-0.3258709246292499
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,5.0,0.0,True,,False,1.0,0.0,True,4,0,2134.0,0.37417291423012733,0.03824785949409293,0.229555187118238,0.2796638636501183,0.1582913454171596,0.20992232281133505,-0.5671799748045033,1533.0,0.06743513733409977,0.22353730666357874,11.720310294271087,0.04111103419512556,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00046901995911277037,0.5006810010466674,0.5002119810875547,1.000892982134222,0.00046901995911277037,0.0,2134.0,-0.09075557210293135,-0.09419058256802189,-0.05508625535477632,0.07273411859674334,0.04336144443344327,0.30589992942028743,-0.2966838608786956
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,5.0,0.01,True,,False,1.0,0.0,True,4,0,2134.0,0.31745527262497797,0.03309291289400407,0.22957015106372844,0.25797886264051634,0.13661002473046305,0.1810187389509792,-0.5733307560777038,1557.0,0.057720456373910226,0.22355573081970231,11.721276293324673,0.040336070408689556,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004690752835965848,0.5007104919738307,0.500241416690234,1.000951908664065,0.0004690752835965848,0.03412502140882115,2134.0,-0.09572961618571146,-0.09868796643837698,-0.05511308261950208,0.0677642315022569,0.0383908185135664,0.3059143880774539,-0.3129294335821624
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,5.0,0.03,True,,False,1.0,0.0,True,4,0,2134.0,0.21242534712400896,0.023007130100024975,0.22959965123923545,0.21524640367949677,0.09388481859237142,0.12420119231534242,-0.5851994622926366,1561.0,0.03931502262474732,0.2235925095174296,11.72320464146493,0.03886928098310356,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004691844068381176,0.5007686240789171,0.5002994396720789,1.001068063750996,0.0004691844068381176,0.09750711148110396,2134.0,-0.10553336343803152,-0.10748721119811203,-0.055165960147846985,0.05796867782720146,0.028593808587082208,0.3059428910342239,-0.3449446499027369
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,10.0,0.0,True,,False,1.0,0.0,True,4,0,2134.0,0.30761307197362364,0.03217851152374118,0.2296245106492607,0.2541235073578178,0.13278269813627722,0.17587686191288582,-0.5747021350592729,1557.0,0.05599163385815922,0.2235373066635787,11.720310294271085,0.08033976776242235,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004690199591127716,0.5006810010466674,0.5002119810875545,1.0008929821342218,0.0004690199591127716,0.0,2134.0,-0.09660087663183094,-0.09948572717048455,-0.0549778628196855,0.06687201822584864,0.03750244404260869,0.3059389093222834,-0.31575217694872953
G00,G00__mom_12_1__top10__weekly__long_short,long_short,mom_12_1,10,weekly,base,10.0,0.01,True,,True,1.0,0.0,True,4,0,2134.0,0.2536374914422903,0.027053203085076305,0.22963948718260313,0.2324451253593116,0.11110799223541475,0.1470457208982352,-0.5807468323979177,1560.0,0.046583470758459374,0.22355573081970234,11.721276293324673,0.07884011427688128,3.0,28.0,4.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0004690752835965866,0.5007104919738307,0.500241416690234,1.0009519086640646,0.0004690752835965866,0.033308557599932384,2134.0,-0.10157528326773546,-0.10395725351029904,-0.05500474241166551,0.06190177668654798,0.032531462241792125,0.30595338527371174,-0.3319959449929416
