factor_id,frequency,state_id,state_bin,episode_id,start_signal,end_signal,observations,relative_log_contribution,episode_relative_mdd
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,11,2020-01-31,2020-06-30,6,0.16506613932723985,-0.035958621020040216
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,14,2020-09-30,2020-10-30,2,-0.07658238446680043,-0.0477827215391996
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,16,2021-01-29,2021-02-26,2,-0.0861442411064316,-0.06825854319677127
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,22,2021-09-30,2021-09-30,1,0.03236960241549351,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,24,2021-11-30,2021-11-30,1,-0.09798876081733737,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,26,2022-01-31,2023-03-31,15,0.2600254028950416,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,30,2023-09-29,2023-10-31,2,0.05434260441403749,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,34,2024-04-30,2024-04-30,1,0.046558796412199094,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,42,2025-03-31,2025-05-30,3,0.07241583027097351,0.0
XS001_MOM_255_0,monthly,MKT_DD252_SEVERITY,high,47,2026-03-31,2026-03-31,1,0.1578278776472169,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,1,2017-12-29,2017-12-29,1,0.03186970647183359,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,5,2018-07-31,2018-09-28,3,-0.07013423143399351,-0.10588873685222788
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,8,2019-04-30,2019-04-30,1,0.015660638152523318,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,11,2019-07-31,2019-07-31,1,0.06700089635777708,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,13,2019-09-30,2019-09-30,1,-0.0019338797123212396,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,15,2019-11-29,2019-12-31,2,0.00749398161728587,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,19,2020-08-31,2020-08-31,1,-0.014137230210468213,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,21,2020-12-31,2020-12-31,1,0.02346777408979346,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,25,2021-06-30,2021-06-30,1,-0.03611357666100191,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,27,2021-08-31,2021-08-31,1,0.0068022688708279586,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,31,2023-07-31,2023-07-31,1,0.0045972118573561205,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,33,2023-12-29,2023-12-29,1,0.05186511197180965,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,35,2024-03-28,2024-03-28,1,-0.004255964783621072,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,37,2024-05-31,2024-06-28,2,-0.09419166481608723,-0.09957599984544852
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,42,2025-06-30,2025-07-31,2,-0.05586519679873622,-0.0550259283201846
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,44,2025-09-30,2025-09-30,1,0.04976844416978557,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,low,47,2025-12-31,2025-12-31,1,0.056311940059509125,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,2,2018-01-31,2018-01-31,1,0.044921597421230974,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,4,2018-05-31,2018-06-29,2,-0.07996829331860283,-0.01889075493902137
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,7,2019-02-28,2019-03-29,2,-0.0020750839039263627,-0.03477701961170776
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,10,2019-06-28,2019-06-28,1,0.02371439152451719,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,14,2019-10-31,2019-10-31,1,0.002343104392755927,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,16,2020-01-31,2020-01-31,1,0.04735279551061034,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,18,2020-07-31,2020-07-31,1,0.0020285486380243536,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,23,2021-04-30,2021-04-30,1,-0.013928827282873793,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,26,2021-07-30,2021-07-30,1,0.010507408860970555,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,28,2021-09-30,2021-11-30,3,-0.060870887493962494,-0.09334090619617497
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,30,2023-04-28,2023-06-30,3,0.030446571755468298,-0.01099068716113305
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,32,2023-08-31,2023-11-30,4,0.03152342583429331,-0.0032538375986223
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,34,2024-01-31,2024-02-29,2,0.034083111742649996,-0.014692527317496928
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,36,2024-04-30,2024-04-30,1,0.046558796412199094,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,38,2024-07-31,2024-07-31,1,0.01113892783781208,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,40,2024-09-30,2025-02-28,6,0.08390455991805562,-0.06035825289508667
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,43,2025-08-29,2025-08-29,1,0.052324225732431826,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,45,2025-10-31,2025-10-31,1,-0.05046757419194214,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,48,2026-01-30,2026-02-27,2,0.032785978193831805,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,mid,50,2026-04-30,2026-04-30,1,0.12420641149665344,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,3,2018-02-28,2018-04-30,3,0.0483142407895234,-0.0053845231355788
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,6,2018-10-31,2019-01-31,4,-0.11844612234422336,-0.055493007870957456
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,9,2019-05-31,2019-05-31,1,-0.018246576486384572,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,12,2019-08-30,2019-08-30,1,-0.07575097914491666,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,17,2020-02-28,2020-06-30,5,0.11771334381662953,-0.035958621020039994
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,20,2020-09-30,2020-11-30,3,-0.055401235515848204,-0.0477827215391996
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,22,2021-01-29,2021-03-31,3,-0.08861330901016468,-0.07055623837235048
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,24,2021-05-28,2021-05-28,1,-0.010847848091172181,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,29,2021-12-31,2023-03-31,16,0.26862849139059136,-0.11756894266231732
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,39,2024-08-30,2024-08-30,1,0.045898154558737,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,41,2025-03-31,2025-05-30,3,0.07241583027097351,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,46,2025-11-28,2025-11-28,1,0.04032778875607288,0.0
XS001_MOM_255_0,monthly,MKT_LOG_RV21,high,49,2026-03-31,2026-03-31,1,0.1578278776472169,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,low,3,2018-04-30,2018-07-31,4,0.02362872453766881,-0.07685438419346124
XS001_MOM_255_0,monthly,MKT_TREND126,low,6,2018-10-31,2019-03-29,6,-0.12052120624814971,-0.055493007870957456
XS001_MOM_255_0,monthly,MKT_TREND126,low,8,2019-05-31,2019-05-31,1,-0.018246576486384572,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,low,11,2019-09-30,2019-10-31,2,0.00040922468043468746,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,low,13,2020-02-28,2020-07-31,6,0.11974189245465389,-0.035958621020039994
XS001_MOM_255_0,monthly,MKT_TREND126,low,19,2022-01-31,2022-02-28,2,0.14246504311213773,0.0
XS001_MOM_255_0,monthly,MKT_TREND126,low,21,2022-04-29,2023-02-28,11,0.12308206876249041,-0.11756894266231721
XS001_MOM_255_0,monthly,MKT_TREND126,low,26,2023-10-31,2023-10-31,1,0.03699672466538251,0.0
