factor_id,frequency,state_id,state_bin,observations,calendar_years,episodes,mean_factor_return,mean_control_return,mean_active_return,active_ir,active_hit,mean_rank_ic,rank_ic_positive_fraction,relative_log_contribution,tail_mean,mean_factor_turnover,mean_factor_cost,mean_eligible_count,worst_episode_relative_mdd
XS001_MOM_255_0,weekly,MKT_DD252_SEVERITY,low,136,8,54,0.0012222004887546022,0.00039104289622526634,0.0008311575925293359,0.23975372604926962,0.4632352941176471,-0.007216129838691028,0.5147058823529411,0.068526505271256,-0.04644167252186277,0.32344984928245973,0.00046984756028224233,497.15441176470586,-0.09245481265348454
XS001_MOM_255_0,weekly,MKT_DD252_SEVERITY,mid,115,9,69,0.002796328237040441,0.0033845675795633927,-0.0005882393425229516,-0.1446136661172691,0.5043478260869565,-0.007610895734427318,0.48695652173913045,-0.12809699072506137,-0.05550950971172194,0.31397887490984866,0.0004978992213572207,497.55652173913046,-0.0874327095749885
XS001_MOM_255_0,weekly,MKT_DD252_SEVERITY,high,192,9,23,0.0069238202649716364,0.003354927753264955,0.0035688925117066824,0.8245425869408323,0.6145833333333334,0.024408526289935357,0.5260416666666666,0.6221867242702691,-0.05618858827127621,0.3181911927367136,0.0003727482735156032,496.3854166666667,-0.1941959384897981
XS001_MOM_255_0,weekly,MKT_LOG_RV21,low,91,9,24,0.0008414849274317009,-0.0013622730739436808,0.0022037580013753817,0.747148243086761,0.5604395604395604,0.035442161601980805,0.5494505494505495,0.17757287418845305,-0.042451740757233514,0.32899463809802143,0.0004646518116693948,496.5824175824176,-0.12834779498122373
XS001_MOM_255_0,weekly,MKT_LOG_RV21,mid,144,8,39,0.00590756583903834,0.0034330444213403616,0.0024745214176979786,0.6316684907417387,0.5208333333333334,-0.002229065908345452,0.5069444444444444,0.2788567496291251,-0.050849878062915556,0.3052549882100691,0.00048102973392863207,497.6388888888889,-0.13153876439125534
XS001_MOM_255_0,weekly,MKT_LOG_RV21,high,208,9,20,0.004278393727822237,0.003443085034707503,0.0008353086931147338,0.18698876471013484,0.5432692307692307,-0.0003579847828463532,0.5,0.10618661499888543,-0.05798774336188913,0.323529945929453,0.00039025841645107316,496.5817307692308,-0.194195938489798
XS001_MOM_255_0,weekly,MKT_TREND126,low,160,7,19,0.006150428421874672,0.0037074008777217967,0.0024430275441528746,0.5630629384626393,0.55,0.005251075848047017,0.48125,0.3569514351964543,-0.05373514326754654,0.309947807961693,0.00037033029651171946,496.5625,-0.1941959384897981
XS001_MOM_255_0,weekly,MKT_TREND126,mid,94,9,44,0.00892652027914286,0.0033672187651812417,0.005559301513961618,1.4101962128312082,0.5531914893617021,0.024703251900659376,0.574468085106383,0.4717614940876572,-0.05430719436050674,0.3113974898095157,0.0004907444246731548,497.6276595744681,-0.0874327095749885
XS001_MOM_255_0,weekly,MKT_TREND126,high,189,9,29,-3.169814356902239e-05,0.0009357170888929817,-0.0009674152324620041,-0.2591258366648144,0.5238095238095238,-0.0017591927735610467,0.5079365079365079,-0.2660966904676477,-0.05416677652811982,0.32976955453190876,0.0004621297555995212,496.8835978835979,-0.19647807463754097
XS001_MOM_255_0,weekly,MKT_XS_DISP21,low,36,8,20,0.006998201256374826,0.0034171565510019214,0.0035810447053729044,1.1772491517659474,0.6666666666666666,-0.02965344052623204,0.4166666666666667,0.11535544643841653,-0.043580228386781585,0.30527964528643886,0.00041339224249013106,496.9166666666667,-0.024586697746305397
XS001_MOM_255_0,weekly,MKT_XS_DISP21,mid,126,10,65,0.002727652430133119,0.0022121252770109763,0.0005155271531221426,0.14412619534246454,0.5,-0.0031922682489740634,0.49206349206349204,0.02103057193708597,-0.04744790914737521,0.29306268356296256,0.00040318664561017495,496.85714285714283,-0.13057497803664764
XS001_MOM_255_0,weekly,MKT_XS_DISP21,high,281,9,51,0.004347156772877453,0.0024370384819353934,0.0019101182909420594,0.44391489859249134,0.5409252669039146,0.01530085422940054,0.5338078291814946,0.42623022044096126,-0.0576820819046849,0.3319341415062315,0.0004521057263093751,496.9572953736655,-0.1941959384897981
