attack_arm_id,cost_bps,active_terminal_wealth,dynamic_mdd
A4__DRAWDOWN252_LVL,10,-0.2255537539010597,-0.2017486171451632
A4__DRAWDOWN252_LVL,20,-0.2833062333403524,-0.2030161779132829
A4__SKEW63_LVL,0,0.0707413660620914,-0.2004279363479809
A4__SKEW63_LVL,5,0.0588278419856045,-0.200658858018539
A4__SKEW63_LVL,10,0.0470437779486623,-0.20088976323315
A4__SKEW63_LVL,20,0.0238585514905562,-0.2013515242974245
A4__KURT126_LVL,0,-0.1250345418479742,-0.1812109284126102
A4__KURT126_LVL,5,-0.1288443446105012,-0.1812502732286377
A4__KURT126_LVL,10,-0.1326385264541543,-0.1812896165982168
A4__KURT126_LVL,20,-0.1401802674313336,-0.1813682989981836
A4__VIX_LEVEL_LVL,0,-0.2170576452519327,-0.1837729146059009
A4__VIX_LEVEL_LVL,5,-0.2338366063320121,-0.1840202000915065
A4__VIX_LEVEL_LVL,10,-0.2502600495086571,-0.1842674621205148
A4__VIX_LEVEL_LVL,20,-0.2820700144199916,-0.1847619158144984
A4__VIX_RV_GAP_LVL,0,0.0434346596229258,-0.2290492360742964
A4__VIX_RV_GAP_LVL,5,0.0135070496378892,-0.2294629612794319
A4__VIX_RV_GAP_LVL,10,-0.0155693961482008,-0.2298765675319822
A4__VIX_RV_GAP_LVL,20,-0.0712641337802267,-0.2307034232051311
A4__DOWN_VOLUME21_LVL,0,-0.0620789830603634,-0.1837729146059018
A4__DOWN_VOLUME21_LVL,5,-0.0907636007935214,-0.1840202000915064
A4__DOWN_VOLUME21_LVL,10,-0.11857792726427,-0.1842674621205148
A4__DOWN_VOLUME21_LVL,20,-0.1716996960808965,-0.1847619158144972
A4__VOLUME_SHOCK_LVL,0,-0.142121961817062,-0.2713169972047099
A4__VOLUME_SHOCK_LVL,5,-0.1587242999663102,-0.2713169972047095
A4__VOLUME_SHOCK_LVL,10,-0.17500950318049,-0.2713169972047097
A4__VOLUME_SHOCK_LVL,20,-0.2066523065372892,-0.2713169972047095
A4__YC_10Y3M_LVL,0,-0.0653568515534166,-0.1812109284126105
A4__YC_10Y3M_LVL,5,-0.0687707500229878,-0.1812502732286377
A4__YC_10Y3M_LVL,10,-0.0721730806153398,-0.1813795972621148
A4__YC_10Y3M_LVL,20,-0.0789431824859041,-0.1830628748702765
A4__YC_10Y2Y_LVL,0,-0.0121928880935709,-0.2290162869072202
A4__YC_10Y2Y_LVL,5,-0.0142480033481503,-0.2292189251672708
A4__YC_10Y2Y_LVL,10,-0.0162994140995669,-0.2294215587764876
A4__YC_10Y2Y_LVL,20,-0.0203911444862892,-0.2298268120425811
A4__RSP_SPY63_LVL,0,0.0525355348495304,-0.2125053849217776
A4__RSP_SPY63_LVL,5,0.0413301973854096,-0.2129258928196328
A4__RSP_SPY63_LVL,10,0.03024134945716,-0.2133462787550418
A4__RSP_SPY63_LVL,20,0.0084084065891389,-0.2141866847699469
A4__SMA_GAP_D4,0,-0.1218414312613885,-0.2323544359387949
A4__SMA_GAP_D4,5,-0.1293591894915734,-0.2325715527818845
A4__SMA_GAP_D4,10,-0.136814497939969,-0.2327886565094645
A4__SMA_GAP_D4,20,-0.1515397730481972,-0.2332228246196421
A4__RV_RATIO_D4,0,-0.0563069293539899,-0.2004279363479809
A4__RV_RATIO_D4,5,-0.0837928993754327,-0.200658858018539
A4__RV_RATIO_D4,10,-0.1104850479154501,-0.20088976323315
A4__RV_RATIO_D4,20,-0.1615781622539551,-0.2013515242974245
A4__RSP_SPY63_D4,0,0.0713861486221885,-0.2721729081824002
A4__RSP_SPY63_D4,5,0.0407736721031712,-0.2723548649553541
A4__RSP_SPY63_D4,10,0.0110283475744334,-0.2725368217283088
A4__RSP_SPY63_D4,20,-0.045957568363419,-0.2729007352742173
