attack_arm_id,native_weeks,common_weeks,native_start,native_end,native_spearman_a4,spearman_a4,block4_95_lower_spearman,block4_one_sided_p,block8_spearman_a4,block8_95_lower_spearman,block8_one_sided_p_diagnostic,causal_diagnostic_weeks,top_fraction,positive_upside_capture,top_mean_a4,rest_mean_a4,top_median_a4,rest_median_a4,top_positive_rate,rest_positive_rate,b4_lift,auc_b4,top_median_w4,rest_median_w4,top_severe_w4_rate,rest_severe_w4_rate,bh_q_value,positive_rankic_year_fraction,family,display_name,preregistered_role,direct_eligible,conditional_eligible,context_only,minimum_leaveout_spearman,cost_bps_10,common_start_10,mean_daily_target_weight_10,dynamic_cagr_10,dynamic_sharpe_10,dynamic_mdd_10,dynamic_ann_vol_10,dynamic_beta_10,dynamic_turnover_10,dynamic_cost_10,static_cagr_10,static_mdd_10,active_terminal_wealth_10,active_terminal_wealth_20,positive_active_year_fraction,conditional_registered,conditional_common_weeks,conditional_high_weeks,conditional_low_weeks,conditional_cells_valid,conditional_a4_contrast,conditional_block95_lower,conditional_one_sided_p,conditional_w4_harm_veto,conditional_bh_q,binary_guardrail_pass,worst_path_harm_veto,reference_attack_positive,robust_direct_attack,economic_reference,conditional_role_pass,model_input_eligible,failed_routes
A4__VIX_LEVEL_LVL,883,883,2004-12-31,2021-11-26,-0.1948966365849215,-0.1948966365849215,-0.2814087154032296,1.0,-0.1948966365849215,-0.2932933429106608,0.998,883,0.3318233295583239,0.2032783592750831,0.0039742858110642,0.0081564912729553,0.0097596243075027,0.0184203050258493,0.6484641638225256,0.6711864406779661,0.977122622278652,0.4776979119982533,-0.0120588274090668,-0.0182785381037767,0.0784982935153583,0.1745762711864406,1.0,0.0,implied_risk,Low VIX level,direct,True,False,False,-0.28427421894507754,10,2009-01-05,0.6415036674816625,0.0787822684931502,0.8147019971475594,-0.1842674621205148,0.0991411196958234,0.5384046689483747,46.50070032472934,0.0775966433621237,0.1029804635795561,-0.2280324268273572,-0.2502600495086571,-0.2820700144199916,0.15384615384615385,False,883,114,310,True,-0.0094444919211046,-0.0172370393041178,0.9925,False,,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__VIX_RV_GAP_LVL,883,883,2004-12-31,2021-11-26,-0.0674156935184562,-0.0674156935184562,-0.155438687060632,0.917,-0.0674156935184562,-0.1577616143633676,0.9145,883,0.2740656851642129,0.2909837576911112,0.0047494395148618,0.0075310939642572,0.0143929916650272,0.0138128233160766,0.6570247933884298,0.6661466458658346,0.9900220009590164,0.4842681651555371,-0.0154123921292422,-0.0153346390899715,0.1776859504132231,0.1294851794071763,1.0,0.4117647058823529,implied_risk,Low VIX minus RV variance proxy,conditional,False,True,False,-0.09336389423581054,10,2009-01-05,0.6181234718826406,0.0981093561532677,0.8465798272946765,-0.2298765675319822,0.1189030513688984,0.6296047350628988,61.41758090104464,0.1067899712092303,0.0994372704777213,-0.2204597538492421,-0.0155693961482008,-0.0712641337802267,0.46153846153846156,True,883,96,328,True,-0.0002996403117354,-0.009243405944998,0.582,False,0.873,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__DOWN_VOLUME21_LVL,883,883,2004-12-31,2021-11-26,-0.1102124271609506,-0.1102124271609506,-0.1846752545855661,0.991,-0.1102124271609506,-0.1844957532821859,0.994,883,0.2525481313703284,0.2169964827331305,0.0092844280664231,0.0059187395982925,0.0142595829394136,0.0138205059216302,0.7085201793721974,0.6484848484848484,1.0676165842758538,0.4680536881902069,-0.01014407636297,-0.0172606481650949,0.0896860986547085,0.1606060606060606,1.0,0.1764705882352941,volume_price,Low down-move dollar-volume share 21d,conditional,False,True,False,-0.19975913294709327,10,2009-01-05,0.6375305623471883,0.0917143993911906,0.8852027063233672,-0.1842674621205148,0.1054408399915997,0.5655445712112218,65.30047490538081,0.1185431978405692,0.1023787037281145,-0.2267497197264122,-0.11857792726427,-0.1716996960808965,0.46153846153846156,True,883,127,297,True,0.0012108546945703,-0.0054685027205062,0.445,False,0.873,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__VOLUME_SHOCK_LVL,883,883,2004-12-31,2021-11-26,-0.0372577814120682,-0.0372577814120682,-0.1297550335743423,0.756,-0.0372577814120682,-0.1411005092612467,0.756,883,0.3975084937712344,0.3617800737080466,0.0055630043198964,0.0075642501454921,0.0120852841746601,0.014829649869523,0.6495726495726496,0.6729323308270677,0.9787929173594704,0.5062915847898783,-0.0152220908149754,-0.0153469797391538,0.1225071225071225,0.1560150375939849,1.0,0.1764705882352941,volume_price,Low dollar-volume shock 21 over 252,conditional,False,True,False,-0.14685173578733357,10,2009-01-05,0.7156173594132029,0.0977914194926776,0.8024554086263143,-0.2713169972047097,0.1262305614980485,0.6657955912808018,42.04083651799973,0.0877009722665731,0.1141782930698296,-0.2516507825558488,-0.17500950318049,-0.2066523065372892,0.38461538461538464,True,883,204,220,True,-0.0014067987264964,-0.0085162488629332,0.5085,True,0.873,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__YC_10Y3M_LVL,883,883,2004-12-31,2021-11-26,-0.0009092623308763,-0.0009092623308763,-0.0906017280449512,0.4935,-0.0009092623308763,-0.0990777249830886,0.523,883,0.1528878822197055,0.1773160325788035,1.543293554218631e-05,0.0079875830847423,0.015833852629046,0.0137961098860516,0.6518518518518519,0.6657754010695187,0.9822272784730124,0.4708202617758931,-0.0238819642386179,-0.0148848638865397,0.2740740740740741,0.1189839572192513,1.0,0.2941176470588235,yield_curve,Positive 10Y minus 3M slope,context_only,False,False,True,-0.03146665773187301,10,2009-01-05,0.589242053789731,0.088754059596755,0.8113360277370651,-0.1813795972621148,0.1126662167593073,0.5993625769914156,10.577456199782102,0.0143467286984972,0.095053625956067,-0.2110236541713427,-0.0721730806153398,-0.0789431824859041,0.15384615384615385,False,883,110,314,True,-0.0077399156996414,-0.0177986212586561,0.829,True,,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__YC_10Y2Y_LVL,883,883,2004-12-31,2021-11-26,0.0439054856539157,0.0439054856539157,-0.0446496828280746,0.1935,0.0439054856539157,-0.0491696794317713,0.2145,883,0.2514156285390713,0.3069011732179131,0.0073077633815385,0.0065877036656337,0.018671355755587,0.0133223112147681,0.6801801801801802,0.6580937972768532,1.0249131383943673,0.4901460566989577,-0.0172576624624076,-0.0151113384319404,0.2072072072072072,0.1210287443267776,1.0,0.3529411764705882,yield_curve,Positive 10Y minus 2Y slope,context_only,False,False,True,0.01927120870129251,10,2009-01-05,0.6463936430317848,0.1023248210873906,0.8368821483591244,-0.2294215587764876,0.1259155322619495,0.6642343048756831,7.332952244992672,0.012603066101887,0.1037208915578435,-0.2296088149386255,-0.0162994140995669,-0.0203911444862892,0.38461538461538464,False,883,171,253,True,-0.0015008594826525,-0.0096640408185115,0.4955,True,,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__RSP_SPY63_LVL,883,883,2004-12-31,2021-11-26,0.1173551570641323,0.1173551570641323,0.0300666344642231,0.0145,0.1173551570641323,0.0180582184883513,0.0275,674,0.1572700296735905,0.2106235409444762,0.0234664847200536,0.0087646796211081,0.0273417407818205,0.0146182677647362,0.839622641509434,0.6725352112676056,1.2014982173616957,0.598799326451424,-0.0127679662158142,-0.0150623642117996,0.1132075471698113,0.1267605633802817,0.29,0.5294117647058824,participation_proxy,Positive RSP versus SPY 63d relative return,direct,True,False,False,0.09685636455355642,10,2009-01-05,0.5780867970660146,0.0958701958880534,0.9001829122065399,-0.2133462787550418,0.1082376403242903,0.5782018102730444,24.672794657350465,0.044022702007244,0.093358518754218,-0.2073547404341915,0.03024134945716,0.0084084065891389,0.5384615384615384,False,674,106,318,True,0.0104488669245079,0.0004005267360199,0.0475,True,,True,False,False,False,False,False,False,robust_direct|economic|conditional
A4__SMA_GAP_D4,883,883,2004-12-31,2021-11-26,-0.0683868459832752,-0.0683868459832752,-0.1613001579983974,0.8875,-0.0683868459832752,-0.1732792018912974,0.868,883,0.2491506228765572,0.2568639586674883,0.005813186651812,0.0070858137711716,0.0167420671273886,0.0134298021768409,0.6727272727272727,0.6606334841628959,1.0136829041265902,0.4794762183840682,-0.0154970681625713,-0.0153226682721859,0.15,0.1402714932126696,1.0,0.2941176470588235,price_trend,Four-scheduled-week improvement in SMA gap,direct,True,False,False,-0.20834136692297112,10,2009-01-05,0.6308068459657702,0.088950726545379,0.7768606428690148,-0.2327886565094645,0.1188310536499137,0.6284054505013926,20.39349218440812,0.0362021385801639,0.1013600116314115,-0.2245751156559227,-0.136814497939969,-0.1515397730481972,0.23076923076923078,False,883,140,284,True,0.0042592309925421,-0.0034848503376663,0.158,True,,False,True,False,False,False,False,False,robust_direct|economic|conditional
A4__RV_RATIO_D4,883,883,2004-12-31,2021-11-26,-0.0141523636198969,-0.0141523636198969,-0.088473215683867,0.6035,-0.0141523636198969,-0.0916807851802825,0.571,883,0.2876557191392978,0.2770868687235993,0.0091401954201485,0.0058111064498692,0.0130776468339718,0.0143860835909078,0.6653543307086615,0.6629570747217806,1.0025731638493995,0.4908700198802588,-0.0142340332828903,-0.0157722364358575,0.1141732283464567,0.1542130365659777,1.0,0.4705882352941176,realized_risk,Four-scheduled-week decline in RV21 over RV126,direct,True,False,False,-0.07952836724398857,10,2009-01-05,0.6505195599022005,0.0944322412857368,0.8504491575823767,-0.20088976323315,0.1137530896088911,0.6029338621582632,62.26835671035268,0.1117149530844263,0.1043454556105669,-0.2309368962415063,-0.1104850479154501,-0.1615781622539551,0.46153846153846156,False,883,139,285,True,-0.0049807964592456,-0.0118227062179636,0.898,True,,False,False,False,False,False,False,False,robust_direct|economic|conditional
A4__RSP_SPY63_D4,883,883,2004-12-31,2021-11-26,0.0423363700389119,0.0423363700389119,-0.0436596530573617,0.2015,0.0423363700389119,-0.0542805091951398,0.2515,674,0.2522255192878338,0.2966767164614786,0.0153189928805004,0.0096459456655357,0.0215994058648082,0.0146182677647362,0.7352941176470589,0.6865079365079365,1.0522043212189336,0.5373327894742347,-0.0126479655759747,-0.0152197387783752,0.1529411764705882,0.115079365079365,1.0,0.5294117647058824,participation_proxy,Four-scheduled-week improvement in RSP versus SPY 63d relative return,direct,True,False,False,0.02298027013309157,10,2009-01-05,0.624541564792176,0.1013403392006409,0.864087820587671,-0.2725368217283088,0.1201047764545945,0.6341129572865014,61.18215401726593,0.1043289097000066,0.1004104055185179,-0.2225443959520587,0.0110283475744334,-0.045957568363419,0.5384615384615384,False,674,139,285,True,0.0011059279176048,-0.0060741230432422,0.309,True,,True,True,False,False,False,False,False,robust_direct|economic|conditional
