group_id,strategy_id,portfolio_mode,variant_id,cost_bps,borrow_fee_annual,reference_strategy_id,comparison_type,metric,estimate
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07351069750474287
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07397667224188006
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.226304252349669
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.017310102670662554
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.09551863206493535
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07637681122776596
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07399638511486334
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2270015530735154
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.015252427900389089
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.10375436591416683
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07879863458755276
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07403519015365673
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,10.0,0.03,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.2283710362912181
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.016928046496116712
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.1025625695206894
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07649550793563764
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_volatility,-0.07395827685201364
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.0,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,annualized_l1_turnover,-1.226304252349669
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,cagr,-0.015885631930732474
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,sharpe_excess_rf,-0.10673584030998105
G13,G13__mom_12_1__top10__monthly__long_short,long_short,base,20.0,0.01,G00__mom_12_1__top10__monthly__long_short,delta_vs_same_scenario_G00,max_drawdown,0.07769201940780879
