comparison_id,candidate_process_id,parent_process_id,frequency,economic_mean_increment,economic_p,mean_rank_ic_increment,rank_ic_p,economic_q,rank_ic_q
PAIR__UNI_RIDGE__XS032_GROSS_PROFIT_AT,UNI_RIDGE__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,weekly,5.846008518999317e-05,0.33093381323735255,0.0009772402897805933,0.29054189162167565,1.0,1.0
PAIR__UNI_RIDGE__XS041_ASSET_GROWTH,UNI_RIDGE__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,weekly,-0.0004966067926724031,0.6874625074985004,0.006711608339103579,0.24055188962207558,1.0,1.0
PAIR__UNI_RIDGE__XS056_CFO_ACCRUALS_PT,UNI_RIDGE__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,weekly,-0.00015973005792893063,0.6432713457308539,0.0028940847661590163,0.15416916616676665,1.0,1.0
PAIR__UNI_LGBM__XS001_MOM_255_0,UNI_LGBM__XS001_MOM_255_0,RAW__XS001_MOM_255_0,weekly,-0.0014501385287822642,0.9168166366726654,-0.006385121319399884,0.7754449110177964,1.0,1.0
PAIR__UNI_LGBM__XS002_MOM_12_1,UNI_LGBM__XS002_MOM_12_1,RAW__XS002_MOM_12_1,weekly,-0.0019306309557228104,0.9854029194161168,-0.011042489773361683,0.9320135972805439,1.0,1.0
PAIR__UNI_LGBM__XS003_MOM_12_7,UNI_LGBM__XS003_MOM_12_7,RAW__XS003_MOM_12_7,weekly,-0.002106259864400642,0.9884023195360928,-0.006164080111118225,0.7496500699860028,1.0,1.0
PAIR__UNI_LGBM__XS004_HIGH_52W,UNI_LGBM__XS004_HIGH_52W,RAW__XS004_HIGH_52W,weekly,0.00041402090226287143,0.3041391721655669,7.651758888640282e-05,0.495500899820036,1.0,1.0
PAIR__UNI_LGBM__XS007_ST_REV_21,UNI_LGBM__XS007_ST_REV_21,RAW__XS007_ST_REV_21,weekly,-0.000389194812192673,0.6222755448910218,-0.0073392381641497,0.9884023195360928,1.0,1.0
PAIR__UNI_LGBM__XS008_SAME_MONTH_5Y,UNI_LGBM__XS008_SAME_MONTH_5Y,RAW__XS008_SAME_MONTH_5Y,weekly,,1.0,,1.0,1.0,1.0
PAIR__UNI_LGBM__XS013_LOW_BETA_FP,UNI_LGBM__XS013_LOW_BETA_FP,RAW__XS013_LOW_BETA_FP,weekly,,1.0,,1.0,1.0,1.0
PAIR__UNI_LGBM__XS015_MAX_21,UNI_LGBM__XS015_MAX_21,RAW__XS015_MAX_21,weekly,-0.00014315954384000462,0.5682863427314537,-0.0032089966162008273,0.7244551089782043,1.0,1.0
PAIR__UNI_LGBM__XS018_AMIHUD_252,UNI_LGBM__XS018_AMIHUD_252,RAW__XS018_AMIHUD_252,weekly,0.0002649375153956905,0.40011997600479904,-0.0007608489346470144,0.5298940211957609,1.0,1.0
PAIR__UNI_LGBM__XS019_PRICE_DELAY_52W,UNI_LGBM__XS019_PRICE_DELAY_52W,RAW__XS019_PRICE_DELAY_52W,weekly,-0.0010532103219830413,0.8840231953609278,0.003273495369984596,0.3307338532293541,1.0,1.0
PAIR__UNI_LGBM__XS020_VOLUME_SHOCK_50D,UNI_LGBM__XS020_VOLUME_SHOCK_50D,RAW__XS020_VOLUME_SHOCK_50D,weekly,-0.0011757725783303238,0.9492101579684064,-0.010262481398802311,0.9934013197360528,1.0,1.0
PAIR__UNI_LGBM__XS032_GROSS_PROFIT_AT,UNI_LGBM__XS032_GROSS_PROFIT_AT,RAW__XS032_GROSS_PROFIT_AT,weekly,0.000488804873575358,0.1977604479104179,0.0037014285503410103,0.23595280943811237,1.0,1.0
PAIR__UNI_LGBM__XS041_ASSET_GROWTH,UNI_LGBM__XS041_ASSET_GROWTH,RAW__XS041_ASSET_GROWTH,weekly,-0.0009620821478193381,0.8442311537692462,0.0033174266801422117,0.34553089382123575,1.0,1.0
PAIR__UNI_LGBM__XS056_CFO_ACCRUALS_PT,UNI_LGBM__XS056_CFO_ACCRUALS_PT,RAW__XS056_CFO_ACCRUALS_PT,weekly,-0.001159386002579095,0.9080183963207359,-0.0008275779877145878,0.5970805838832234,1.0,1.0
PAIR__STATIC_EQ_ROLE5,STATIC_EQ_ROLE5,RAW__XS003_MOM_12_7,weekly,-0.0022902193826702948,0.997000599880024,-0.005453871914786566,0.8680263947210558,1.0,1.0
PAIR__STATIC_EQ_ALL14,STATIC_EQ_ALL14,RAW__XS003_MOM_12_7,weekly,-0.0033713345807984798,0.998000399920016,-0.006646485869354796,0.8018396320735853,1.0,1.0
PAIR__STATIC_DIM6_ALL14,STATIC_DIM6_ALL14,RAW__XS003_MOM_12_7,weekly,-0.0031658956769412445,0.996000799840032,-0.009947426708676805,0.8582283543291341,1.0,1.0
PAIR__FO_RIDGE__ROLE5,FO_RIDGE__ROLE5,STATIC_EQ_ROLE5,weekly,0.0008929247918197893,0.17696460707858427,0.0019690629685526714,0.4123175364927015,1.0,1.0
PAIR__FO_LGBM__ROLE5,FO_LGBM__ROLE5,STATIC_EQ_ROLE5,weekly,,1.0,,1.0,1.0,1.0
PAIR__FO_RIDGE__ALL14,FO_RIDGE__ALL14,STATIC_DIM6_ALL14,weekly,0.0010845805760186888,0.18136372725454908,0.005877301806896121,0.28834233153369326,1.0,1.0
PAIR__FO_LGBM__ALL14,FO_LGBM__ALL14,STATIC_DIM6_ALL14,weekly,,1.0,,1.0,1.0,1.0
