process_id,frequency,top_k,expected_periods,engine_periods,maximum_abs_label_proxy_difference,mean_abs_label_proxy_difference,identity_passed
RAW__XS008_SAME_MONTH_5Y,weekly,5,443,443,3.191891195797325e-16,9.847321298301357e-17,True
RAW__XS008_SAME_MONTH_5Y,weekly,10,443,443,4.2327252813834093e-16,1.0987235676664778e-16,True
RAW__XS008_SAME_MONTH_5Y,weekly,20,443,443,4.579669976578771e-16,1.6295283318948316e-16,True
RAW__XS008_SAME_MONTH_5Y,weekly,50,443,443,0.011858342958694257,2.7912540408899972e-05,True
RAW__XS013_LOW_BETA_FP,monthly,5,101,101,0.0014297928856788836,1.4759073474449944e-05,True
RAW__XS013_LOW_BETA_FP,monthly,10,101,101,0.0007148964428393655,7.379536737269689e-06,True
RAW__XS013_LOW_BETA_FP,monthly,20,101,101,0.0013925129133606287,2.2386354181967364e-05,True
RAW__XS013_LOW_BETA_FP,monthly,50,101,101,0.0034282355216303517,4.4656882890452256e-05,True
RAW__XS013_LOW_BETA_FP,weekly,5,443,443,6.087353523069952e-05,2.638950355797904e-07,True
RAW__XS013_LOW_BETA_FP,weekly,10,443,443,3.0436767615493743e-05,1.319475178466402e-07,True
RAW__XS013_LOW_BETA_FP,weekly,20,443,443,0.0032242852376515533,1.579037550454308e-05,True
RAW__XS013_LOW_BETA_FP,weekly,50,443,443,0.0009586389665844335,5.950100479120751e-06,True
RAW__XS015_MAX_21,monthly,5,101,101,0.03428235521630699,0.0005434302141609878,True
RAW__XS015_MAX_21,monthly,10,101,101,0.01714117760815346,0.0002834204290660783,True
RAW__XS015_MAX_21,monthly,20,101,101,0.008570588804076663,0.00020371119539736067,True
RAW__XS015_MAX_21,monthly,50,101,101,0.0034282355216304905,8.327552293512429e-05,True
RAW__XS015_MAX_21,weekly,5,443,443,0.011628487304022283,7.033629165189426e-05,True
RAW__XS015_MAX_21,weekly,10,443,443,0.006993760389875613,4.566445101399433e-05,True
RAW__XS015_MAX_21,weekly,20,443,443,0.002912719351993066,2.799463653384685e-05,True
RAW__XS015_MAX_21,weekly,50,443,443,0.004552829154257997,2.789395738804407e-05,True
RAW__XS018_AMIHUD_252,monthly,5,101,101,3.5388358909926865e-16,1.0443550589779183e-16,True
RAW__XS018_AMIHUD_252,monthly,10,101,101,0.0033039591889463815,3.6917252891934816e-05,True
RAW__XS018_AMIHUD_252,monthly,20,101,101,0.0035218467175352763,7.586493994421707e-05,True
RAW__XS018_AMIHUD_252,monthly,50,101,101,0.00653843713926841,8.799050094367316e-05,True
RAW__XS018_AMIHUD_252,weekly,5,443,443,3.8163916471489756e-16,1.0156936888223952e-16,True
RAW__XS018_AMIHUD_252,weekly,10,443,443,0.001526587257969638,3.5685181283936458e-06,True
RAW__XS018_AMIHUD_252,weekly,20,443,443,0.0045007032348803756,1.863035844393107e-05,True
RAW__XS018_AMIHUD_252,weekly,50,443,443,0.0018002812939521707,1.1049571074813949e-05,True
RAW__XS019_PRICE_DELAY_52W,monthly,5,101,101,3.5561831257524545e-16,9.497933071222273e-17,True
RAW__XS019_PRICE_DELAY_52W,monthly,10,101,101,0.0006368445666077999,6.32735602455802e-06,True
RAW__XS019_PRICE_DELAY_52W,monthly,20,101,101,0.0003783134294462545,1.041792652797248e-05,True
RAW__XS019_PRICE_DELAY_52W,monthly,50,101,101,0.002217023530939338,3.457985485408761e-05,True
RAW__XS019_PRICE_DELAY_52W,weekly,5,443,443,8.424599831502455e-05,1.9017155385317834e-07,True
RAW__XS019_PRICE_DELAY_52W,weekly,10,443,443,0.0007120257478077877,1.8883359850259594e-06,True
