process_id,frequency,window_type,window_id,periods,relative_log_sum,active_mean
FS_RIDGE__ALL14_S6,monthly,calendar_year,2026,5,-0.03216513215916613,-0.006128376484807063
FS_RIDGE__ALL14_S6,weekly,calendar_year,2018,53,-0.11878748823426659,-0.0020550183355853664
FS_RIDGE__ALL14_S6,weekly,calendar_year,2019,52,-0.05810367893715723,-0.001067374287997785
FS_RIDGE__ALL14_S6,weekly,calendar_year,2020,52,-0.159775380555641,-0.002023410514129979
FS_RIDGE__ALL14_S6,weekly,calendar_year,2021,52,0.02844312598789542,0.0007109561180814226
FS_RIDGE__ALL14_S6,weekly,calendar_year,2022,52,-0.16048035867929633,-0.0023829518603707624
FS_RIDGE__ALL14_S6,weekly,calendar_year,2023,52,-0.26741402342020953,-0.004961356337779017
FS_RIDGE__ALL14_S6,weekly,calendar_year,2024,53,-0.1092075529791052,-0.0020041243937843943
FS_RIDGE__ALL14_S6,weekly,calendar_year,2025,52,0.15276758390764153,0.003518665203080339
FS_RIDGE__ALL14_S6,weekly,calendar_year,2026,25,-0.08175146535464058,-0.0032365939881469786
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2018,12,-0.05348518318762748,-0.0038363845334578963
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2019,12,-0.13481670478007113,-0.011048511820458148
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2020,12,0.09080153178633125,0.011528038432160612
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2021,12,0.061897941807372084,0.008062036116079927
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2022,12,-0.23890299722722974,-0.019231590382627173
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2023,12,0.127701590045802,0.012736088925112929
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2024,12,0.034943746204515146,0.003452651483130111
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2025,12,-0.019065017106519658,-0.001142494378816435
FS_RIDGE__ROLE5_S2,monthly,calendar_year,2026,5,0.16372377301330626,0.035764097951033594
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2018,53,-0.08485754990407897,-0.0015083949245230104
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2019,52,-0.04414127049236279,-0.0007667685548536875
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2020,52,0.16370300460277465,0.004053931773819929
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2021,52,-0.053077481367225426,-0.0007334287638874209
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2022,52,0.03484835969495166,0.0010724968302877314
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2023,52,0.02147952469239056,0.0005875321786060142
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2024,53,0.10873720475248028,0.0024896785057914816
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2025,52,0.1624914348069699,0.0035732094194395048
FS_RIDGE__ROLE5_S2,weekly,calendar_year,2026,25,0.15194330941472042,0.006451748968318163
RAW__XS001_MOM_255_0,monthly,calendar_year,2018,12,-0.12051828836880227,-0.00816872899861192
RAW__XS001_MOM_255_0,monthly,calendar_year,2019,12,-0.016321900523397142,-0.001783280166593219
RAW__XS001_MOM_255_0,monthly,calendar_year,2020,12,0.10922167412841427,0.007340753177862434
RAW__XS001_MOM_255_0,monthly,calendar_year,2021,12,-0.16924036980301424,-0.01405946453153655
RAW__XS001_MOM_255_0,monthly,calendar_year,2022,12,0.2517777849919132,0.02401634580177069
RAW__XS001_MOM_255_0,monthly,calendar_year,2023,12,0.09337503729909064,0.008012409032168146
RAW__XS001_MOM_255_0,monthly,calendar_year,2024,12,0.19933121704153858,0.018382668901317883
RAW__XS001_MOM_255_0,monthly,calendar_year,2025,12,0.08414888632513877,0.007846632230617767
RAW__XS001_MOM_255_0,monthly,calendar_year,2026,5,0.37097493756768174,0.08154701104648202
RAW__XS001_MOM_255_0,weekly,calendar_year,2018,53,-0.11504532180307636,-0.001827018798015796
RAW__XS001_MOM_255_0,weekly,calendar_year,2019,52,-0.042693832002886414,-0.0007862380120045672
RAW__XS001_MOM_255_0,weekly,calendar_year,2020,52,-0.03186259948920722,-0.0009998025959015316
RAW__XS001_MOM_255_0,weekly,calendar_year,2021,52,-0.2596482351753902,-0.004381863764258997
RAW__XS001_MOM_255_0,weekly,calendar_year,2022,52,0.20175294450892706,0.004490806785778776
RAW__XS001_MOM_255_0,weekly,calendar_year,2023,52,0.0717976515597824,0.001497358514924919
RAW__XS001_MOM_255_0,weekly,calendar_year,2024,53,0.148224430075248,0.0035673492210301643
RAW__XS001_MOM_255_0,weekly,calendar_year,2025,52,0.13818134200340437,0.0031927452700834377
RAW__XS001_MOM_255_0,weekly,calendar_year,2026,25,0.4497846900247802,0.0191850946201644
RAW__XS002_MOM_12_1,monthly,calendar_year,2018,12,-0.07472693244989324,-0.004581550873686872
RAW__XS002_MOM_12_1,monthly,calendar_year,2019,12,0.009970296807584843,0.0006457279242854571
RAW__XS002_MOM_12_1,monthly,calendar_year,2020,12,-0.011439948839959392,-0.0010891098829509023
RAW__XS002_MOM_12_1,monthly,calendar_year,2021,12,-0.20081911933765598,-0.016890975466372537
RAW__XS002_MOM_12_1,monthly,calendar_year,2022,12,0.17957418496110114,0.017279025627103844
RAW__XS002_MOM_12_1,monthly,calendar_year,2023,12,0.015187512376453334,0.0016085500106867618
RAW__XS002_MOM_12_1,monthly,calendar_year,2024,12,0.15855766274964092,0.014686944481432465
RAW__XS002_MOM_12_1,monthly,calendar_year,2025,12,0.10227695962243016,0.009693068968712063
RAW__XS002_MOM_12_1,monthly,calendar_year,2026,5,0.36832220839991325,0.08066988164846327
RAW__XS002_MOM_12_1,weekly,calendar_year,2018,53,-0.09738105712427958,-0.0014828163306403956
RAW__XS002_MOM_12_1,weekly,calendar_year,2019,52,-0.05405022838071028,-0.000984507558797555
RAW__XS002_MOM_12_1,weekly,calendar_year,2020,52,-0.0015790344937378908,-5.298922422992637e-05
RAW__XS002_MOM_12_1,weekly,calendar_year,2021,52,-0.20577669789726477,-0.0034074001655888786
RAW__XS002_MOM_12_1,weekly,calendar_year,2022,52,0.15358911368916883,0.00361146134124652
RAW__XS002_MOM_12_1,weekly,calendar_year,2023,52,0.03050434120501501,0.0007196945911398736
RAW__XS002_MOM_12_1,weekly,calendar_year,2024,53,0.15802930302909562,0.003809243684201184
RAW__XS002_MOM_12_1,weekly,calendar_year,2025,52,0.05616698382586081,0.0017675628138696857
RAW__XS002_MOM_12_1,weekly,calendar_year,2026,25,0.3900106864139294,0.016662571145924815
RAW__XS003_MOM_12_7,monthly,calendar_year,2018,12,0.008289952114419852,0.0019090251003686571
RAW__XS003_MOM_12_7,monthly,calendar_year,2019,12,0.01915643925172353,0.0016987490449344722
RAW__XS003_MOM_12_7,monthly,calendar_year,2020,12,0.04405918674446414,0.0016643795111425848
RAW__XS003_MOM_12_7,monthly,calendar_year,2021,12,-0.02869980195821153,-0.0023407416494519995
RAW__XS003_MOM_12_7,monthly,calendar_year,2022,12,0.2444302104676485,0.02311630984409573
RAW__XS003_MOM_12_7,monthly,calendar_year,2023,12,0.023202717338017625,0.002153160311434819
RAW__XS003_MOM_12_7,monthly,calendar_year,2024,12,0.18971214505187645,0.016943060520949165
RAW__XS003_MOM_12_7,monthly,calendar_year,2025,12,0.17337028249749709,0.015283886628266538
RAW__XS003_MOM_12_7,monthly,calendar_year,2026,5,0.340838644866683,0.07715048621447687
RAW__XS003_MOM_12_7,weekly,calendar_year,2018,53,-0.04529656333768865,-0.0004689390813564745
RAW__XS003_MOM_12_7,weekly,calendar_year,2019,52,0.031224661148892066,0.0006468718612761719
RAW__XS003_MOM_12_7,weekly,calendar_year,2020,52,0.06764455964781017,0.0010792410170540505
RAW__XS003_MOM_12_7,weekly,calendar_year,2021,52,-0.15108730208355994,-0.002513050453834583
RAW__XS003_MOM_12_7,weekly,calendar_year,2022,52,0.23942031207738879,0.005363286999538532
RAW__XS003_MOM_12_7,weekly,calendar_year,2023,52,0.031257357811866046,0.0006935997091771378
