process_id,frequency,period,periods,relative_log_sum,active_mean
RAW__XS041_ASSET_GROWTH,weekly,2022_2026h1,234,0.38430225690905395,0.0017308219736486908
RAW__XS041_ASSET_GROWTH,weekly,full,443,0.3662829637306664,0.0010535989997736061
RAW__XS056_CFO_ACCRUALS_PT,monthly,2018_2021,48,-0.032813198691130266,0.0022742847280210663
RAW__XS056_CFO_ACCRUALS_PT,monthly,2022_2026h1,53,0.37360414972440115,0.00815600930883426
RAW__XS056_CFO_ACCRUALS_PT,monthly,full,101,0.34079095103327084,0.005360734260527
RAW__XS056_CFO_ACCRUALS_PT,weekly,2018_2021,209,-0.07687328797738234,0.00017875351941150383
RAW__XS056_CFO_ACCRUALS_PT,weekly,2022_2026h1,234,0.28053936318894984,0.0014792501340067713
RAW__XS056_CFO_ACCRUALS_PT,weekly,full,443,0.20366607521156754,0.0008656975551119386
STATIC_DIM6_ALL14,monthly,2018_2021,48,-0.09376416433667673,-0.00293956494340532
STATIC_DIM6_ALL14,monthly,2022_2026h1,53,-0.0451870984888424,-0.001269226523700104
STATIC_DIM6_ALL14,monthly,full,101,-0.1389512628255192,-0.002063050723163969
STATIC_DIM6_ALL14,weekly,2018_2021,209,-0.2726855692090093,-0.0014212696323583473
STATIC_DIM6_ALL14,weekly,2022_2026h1,234,-0.2236928506877196,-0.0010552640793818969
STATIC_DIM6_ALL14,weekly,full,443,-0.4963784198967289,-0.001227939385413676
STATIC_EQ_ALL14,monthly,2018_2021,48,-0.34241587275586355,-0.00812088408537913
STATIC_EQ_ALL14,monthly,2022_2026h1,53,-0.16029113923336175,-0.003354986442444139
STATIC_EQ_ALL14,monthly,full,101,-0.5027070119892254,-0.0056199675004726495
STATIC_EQ_ALL14,weekly,2018_2021,209,-0.38176996089670034,-0.0019610773516845143
STATIC_EQ_ALL14,weekly,2022_2026h1,234,-0.20561789340878328,-0.0009636281976225346
STATIC_EQ_ALL14,weekly,full,443,-0.5873878543054836,-0.001434208046830105
STATIC_EQ_ROLE5,monthly,2018_2021,48,-0.16220061663121377,-0.0038406667182561117
STATIC_EQ_ROLE5,monthly,2022_2026h1,53,0.305323591988367,0.0061192527631778165
STATIC_EQ_ROLE5,monthly,full,101,0.14312297535715318,0.0013858256828923853
STATIC_EQ_ROLE5,weekly,2018_2021,209,-0.2375248223628325,-0.0010684189193873983
STATIC_EQ_ROLE5,weekly,2022_2026h1,234,0.1290710008281344,0.0007317905737265885
STATIC_EQ_ROLE5,weekly,full,443,-0.10845382153469817,-0.00011751819390506663
UNI_LGBM__XS001_MOM_255_0,monthly,2018_2021,48,0.16738393685437358,0.0034146463884092058
UNI_LGBM__XS001_MOM_255_0,monthly,2022_2026h1,53,0.28762738468121274,0.00715794778992366
UNI_LGBM__XS001_MOM_255_0,monthly,full,101,0.4550113215355862,0.005378953064451444
UNI_LGBM__XS001_MOM_255_0,weekly,2018_2021,209,-0.28151795258441803,-0.0012709101379746377
UNI_LGBM__XS001_MOM_255_0,weekly,2022_2026h1,234,0.19959765403545685,0.0010295865175541745
UNI_LGBM__XS001_MOM_255_0,weekly,full,443,-0.08192029854896124,-5.574937636348186e-05
UNI_LGBM__XS002_MOM_12_1,monthly,2018_2021,48,-0.09810260998220316,-0.0018521762401029276
UNI_LGBM__XS002_MOM_12_1,monthly,2022_2026h1,53,0.11583210138178023,0.0028985173733468354
UNI_LGBM__XS002_MOM_12_1,monthly,full,101,0.017729491399577094,0.0006407619926974431
UNI_LGBM__XS002_MOM_12_1,weekly,2018_2021,209,-0.4299021028472998,-0.0021191984960244976
UNI_LGBM__XS002_MOM_12_1,weekly,2022_2026h1,234,0.004145999729171762,0.0002720004537505003
UNI_LGBM__XS002_MOM_12_1,weekly,full,443,-0.42575610311812795,-0.0008561272674751759
