process_id,frequency,economic_mean,economic_p,mean_rank_ic,rank_ic_p,economic_q,rank_ic_q
UNI_RIDGE__XS004_HIGH_52W,weekly,-0.0011120498893168744,0.8608278344331134,0.0024994970236920273,0.3767246550689862,1.0,0.9507812723169652
UNI_RIDGE__XS007_ST_REV_21,weekly,-0.00010647635903115552,0.5548890221955609,0.017272893286851422,0.008598280343931213,1.0,0.22785442911417714
UNI_RIDGE__XS008_SAME_MONTH_5Y,weekly,,1.0,,1.0,1.0,1.0
UNI_RIDGE__XS013_LOW_BETA_FP,weekly,,1.0,,1.0,1.0,1.0
UNI_RIDGE__XS015_MAX_21,weekly,-0.0006832613985451134,0.8180363927214557,-0.0007870630586726888,0.5348930213957208,1.0,1.0
UNI_RIDGE__XS018_AMIHUD_252,weekly,-0.0007743555298492466,0.8542291541691661,-0.011167833803334571,0.9632073585282943,1.0,1.0
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,-0.0008657505611436456,0.8942211557688462,0.0009248304287523851,0.4479104179164167,1.0,0.9950232175787065
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,-0.0020997352508399466,0.9996000799840032,-0.0016961698155172076,0.6386722655468906,1.0,1.0
UNI_RIDGE__XS032_GROSS_PROFIT_AT,weekly,-4.303096681457081e-05,0.5268946210757849,0.00519454216213351,0.16836632673465307,1.0,0.6514907544806828
UNI_RIDGE__XS041_ASSET_GROWTH,weekly,0.00033021705322074915,0.27454509098180363,0.0038092194860919345,0.23355328934213157,1.0,0.6514907544806828
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,weekly,0.00030001277550575906,0.34853029394121177,0.0029130146511470215,0.18136372725454908,1.0,0.6514907544806828
UNI_LGBM__XS001_MOM_255_0,weekly,-0.00018492166715341137,0.6100779844031193,1.288050009149835e-05,0.5068986202759448,1.0,0.9950232175787065
UNI_LGBM__XS002_MOM_12_1,weekly,-0.0009610747248716206,0.8162367526494702,1.875039178071312e-05,0.50249950009998,1.0,0.9950232175787065
UNI_LGBM__XS003_MOM_12_7,weekly,-6.0857234630342685e-05,0.5548890221955609,0.0048247494906285375,0.1195760847830434,1.0,0.6514907544806828
UNI_LGBM__XS004_HIGH_52W,weekly,-0.0020807212319219536,1.0,-0.0028473640941201945,0.7298540291941612,1.0,1.0
UNI_LGBM__XS007_ST_REV_21,weekly,-0.0004956711712238283,0.7994401119776045,0.009933655122701725,0.03159368126374725,1.0,0.33489302139572086
UNI_LGBM__XS008_SAME_MONTH_5Y,weekly,,1.0,,1.0,1.0,1.0
UNI_LGBM__XS013_LOW_BETA_FP,weekly,,1.0,,1.0,1.0,1.0
UNI_LGBM__XS015_MAX_21,weekly,-0.001626410136424505,0.9996000799840032,-0.005005808710294704,0.8728254349130175,1.0,1.0
UNI_LGBM__XS018_AMIHUD_252,weekly,-0.0006817677578793114,0.887622475504899,-0.004856233114240318,0.902619476104779,1.0,1.0
UNI_LGBM__XS019_PRICE_DELAY_52W,weekly,-0.0018934917471342865,0.9988002399520096,-0.0027349323960864026,0.8038392321535693,1.0,1.0
UNI_LGBM__XS020_VOLUME_SHOCK_50D,weekly,-0.002372278320987061,1.0,-0.004511705379017275,0.9484103179364127,1.0,1.0
UNI_LGBM__XS032_GROSS_PROFIT_AT,weekly,0.0003873138215707943,0.22875424915016995,0.007918730422693926,0.013597280543891222,1.0,0.24021862294207827
UNI_LGBM__XS041_ASSET_GROWTH,weekly,-0.0001352583019261856,0.6034793041391722,0.0004150378271305674,0.4547090581883623,1.0,0.9950232175787065
UNI_LGBM__XS056_CFO_ACCRUALS_PT,weekly,-0.0006996431691444053,0.8934213157368527,-0.0008086481027265811,0.6042791441711658,1.0,1.0
STATIC_EQ_ROLE5,weekly,-0.00024481675289999584,0.6172765446910617,0.005534957686960194,0.21735652869426114,1.0,0.6514907544806828
STATIC_EQ_ALL14,weekly,-0.0013259319510281796,0.9796040791841631,0.004342343732391964,0.3141371725654869,1.0,0.8324635072985404
STATIC_DIM6_ALL14,weekly,-0.0011204930471709455,0.9686062787442512,0.0010414028930699596,0.4461107778444311,1.0,0.9950232175787065
FO_RIDGE__ROLE5,weekly,0.0006481080389197935,0.23815236952609478,0.007504020655512866,0.14657068586282743,1.0,0.6514907544806828
