factor_id,frequency,pair_id,outcome,interaction_sign,bh_q,sample_gate_passed,leave_one_year_out_estimable,leave_one_year_out_direction_fraction,maximum_single_year_absolute_contribution_fraction,topk_widths_same_direction,top20_same_direction,twenty_bps_same_direction,base_stability_passed,replicated,context_label
XS013_LOW_BETA_FP,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.3129000014239382,3,True,True,False,False,none
XS013_LOW_BETA_FP,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3000651085282089,3,True,True,False,False,none
XS013_LOW_BETA_FP,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.3624302669885589,2,True,True,False,False,none
XS013_LOW_BETA_FP,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.42589001144167804,3,True,True,False,False,none
XS013_LOW_BETA_FP,monthly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.6459677277882623,3,True,True,False,False,none
XS013_LOW_BETA_FP,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.6415783669336623,3,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.36206246788001784,3,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.2860792694867168,3,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.30620652461485337,3,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.3034825340422764,3,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.3173292935184632,2,True,True,False,False,none
XS013_LOW_BETA_FP,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.31012684938957713,3,True,True,False,False,none
XS015_MAX_21,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.3239116926620905,3,True,True,False,False,none
XS015_MAX_21,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.2170579011014177,3,True,True,False,False,none
XS015_MAX_21,monthly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.48842952480392127,3,True,True,False,False,none
XS015_MAX_21,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.6199716780698414,3,True,True,False,False,none
XS015_MAX_21,monthly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.6810472356224806,3,True,True,False,False,none
XS015_MAX_21,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.6778080962736402,3,True,True,False,False,none
XS015_MAX_21,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.3506127631030668,1,True,True,False,False,none
XS015_MAX_21,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.44790604453514143,3,True,True,False,False,none
XS015_MAX_21,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.27784300820900054,3,True,True,False,False,none
XS015_MAX_21,weekly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.333911393249134,3,True,True,False,False,none
XS015_MAX_21,weekly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.35387541810233786,3,True,True,False,False,none
XS015_MAX_21,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.3447521708188783,3,True,True,False,False,none
XS018_AMIHUD_252,monthly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.4003140008044479,3,True,True,False,False,none
XS018_AMIHUD_252,monthly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.26448326452436155,3,True,True,False,False,none
XS018_AMIHUD_252,monthly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.4727373318626939,2,True,True,False,False,none
XS018_AMIHUD_252,monthly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.624908919915565,3,True,True,False,False,none
XS018_AMIHUD_252,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.597641478388838,3,True,True,False,False,none
XS018_AMIHUD_252,monthly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.6053527533911937,3,True,True,False,False,none
XS018_AMIHUD_252,weekly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.2326792142603588,3,True,True,False,False,none
XS018_AMIHUD_252,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.30632171593372387,3,True,True,False,False,none
XS018_AMIHUD_252,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.3487160948293871,2,True,True,False,False,none
XS018_AMIHUD_252,weekly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3594603238730845,3,True,True,False,False,none
XS018_AMIHUD_252,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.3412843016176762,3,True,True,False,False,none
XS018_AMIHUD_252,weekly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.4069148656392911,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.27507669702209786,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3572788966887327,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.4291134661482429,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.6282012230394857,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.5179401410195611,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.5521152325604329,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.3632954591585896,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.3574637932853255,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.2514248589253962,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,breadth_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3289899040934927,3,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.35487042609147285,2,True,True,False,False,none
XS019_PRICE_DELAY_52W,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.25829531152945934,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.2662499498153027,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.3417372439224051,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,breadth_x_volatility,active_return,-1,1.0,False,0,0.0,0.6102015991414637,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.3010985601693351,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.7369190117321119,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,monthly,dispersion_x_correlation,rank_ic,-1,1.0,False,0,0.0,0.24590606323535197,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,trend_x_volatility,active_return,-1,1.0,False,0,0.0,0.31358791968442273,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,trend_x_volatility,rank_ic,-1,1.0,False,0,0.0,0.43229599097705657,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.34798384595722454,2,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.22013572090479477,3,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,dispersion_x_correlation,active_return,-1,1.0,False,0,0.0,0.3179020552452435,1,True,True,False,False,none
XS020_VOLUME_SHOCK_50D,weekly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.2818167355015281,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,trend_x_volatility,active_return,1,1.0,False,0,0.0,0.30299434379933615,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,trend_x_volatility,rank_ic,1,1.0,False,0,0.0,0.39669625475863646,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,breadth_x_volatility,active_return,1,1.0,False,0,0.0,0.3907816068562591,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,breadth_x_volatility,rank_ic,1,1.0,False,0,0.0,0.48488100884027835,3,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,dispersion_x_correlation,active_return,1,1.0,False,0,0.0,0.3964340401279804,2,True,True,False,False,none
XS032_GROSS_PROFIT_AT,monthly,dispersion_x_correlation,rank_ic,1,1.0,False,0,0.0,0.2877601805450775,3,True,True,False,False,none
