factor_id,frequency,state_id,outcome,best_bin,worst_bin,bh_q,qualification_effect,standardized_range,cross_outcome_contrast,relationship_role,qualifies,leave_one_year_out_estimable,leave_one_year_out_direction_fraction,maximum_single_year_absolute_contribution_fraction,topk_widths_same_direction,top20_same_direction,twenty_bps_same_direction,all_stability_gates
XS002_MOM_12_1,weekly,MKT_DD252_SEVERITY,active_return,high,mid,1.0,0.263544687834379,0.1765663487853731,0.034819924232059964,none,False,10,1.0,0.2096226014893484,3,True,True,True
XS002_MOM_12_1,weekly,MKT_DD252_SEVERITY,rank_ic,high,low,0.9097941903010358,0.0418993249442733,0.1710509252519816,0.0036045989344184294,none,False,10,1.0,0.26198518136395255,3,True,True,True
XS002_MOM_12_1,weekly,MKT_LOG_RV21,active_return,mid,low,1.0,0.0375381346776944,0.025149326418673,-0.03423074085700941,none,False,10,0.8,0.2952427747516662,2,True,True,True
XS002_MOM_12_1,weekly,MKT_LOG_RV21,rank_ic,low,mid,0.9508840970619472,0.0342307408570094,0.1397444923859695,-0.0007218872053402772,none,False,10,1.0,0.2168237289261032,3,True,True,True
XS002_MOM_12_1,weekly,MKT_TREND126,active_return,mid,high,1.0,0.3562205260286007,0.2386561389649464,0.030703981575595795,none,False,10,1.0,0.37914850465247535,3,True,True,True
XS002_MOM_12_1,weekly,MKT_TREND126,rank_ic,mid,high,0.9508840970619472,0.0307039815755957,0.1253467559300922,0.006850394731319245,none,False,10,1.0,0.2116072488373461,3,True,True,True
XS002_MOM_12_1,weekly,MKT_XS_DISP21,active_return,low,mid,1.0,0.1662490941502575,0.1113814730404803,-0.011047563414634967,none,False,10,1.0,0.4187419032804874,3,True,True,True
XS002_MOM_12_1,weekly,MKT_XS_DISP21,rank_ic,high,low,1.0,0.0409298793066947,0.1670932344416911,-0.0005792781454518241,none,False,10,0.9,0.410940865814661,3,True,True,True
XS003_MOM_12_7,monthly,MKT_AVG_CORR63,active_return,high,mid,0.7093382527307549,0.2950747767545335,0.5348278944911603,0.09613927741668427,none,False,10,1.0,0.26553483935273664,3,True,True,True
XS003_MOM_12_7,monthly,MKT_AVG_CORR63,rank_ic,low,mid,0.5908630318324148,0.0977099263579105,0.5379410092110973,0.016342824327045355,none,False,10,1.0,0.28709542940490457,3,True,True,True
XS003_MOM_12_7,monthly,MKT_BREADTH_RSP63,active_return,mid,low,0.705816258222053,0.2886622876924326,0.5232051524145509,0.0481624878695541,none,False,10,1.0,0.28618428306299476,3,True,True,True
