factor_id,frequency,calendar_type,period,observations,active_annualized_mean,active_ir,relative_log_wealth,mean_rank_ic
XS007_ST_REV_21,weekly,calendar_quarter,2019Q2,13,0.0363601075409119,0.2744849388437011,0.0049990373651611995,0.00456337032526688
XS007_ST_REV_21,weekly,calendar_quarter,2019Q3,13,0.24929575781914878,1.8230521278777025,0.059346083534818364,0.0755050394012428
XS007_ST_REV_21,weekly,calendar_quarter,2019Q4,13,0.2761379185470698,2.3158056941122394,0.0664764727917489,0.00515406638115327
XS007_ST_REV_21,weekly,calendar_quarter,2020Q1,13,-0.9929538983834264,-2.007073184683919,-0.3453780262079051,-0.10913580656598507
XS007_ST_REV_21,weekly,calendar_quarter,2020Q2,13,2.346785890507155,2.947787709855268,0.4733796225538022,0.13559967838725648
XS007_ST_REV_21,weekly,calendar_quarter,2020Q3,13,-0.19160675560332185,-1.3474784746296697,-0.04994354231691586,-0.004734128475989869
XS007_ST_REV_21,weekly,calendar_quarter,2020Q4,14,0.16769227558545216,0.9778268445096021,0.04142219785832265,0.0008239784702230738
XS007_ST_REV_21,weekly,calendar_quarter,2021Q1,12,0.47690142154400295,4.58309020366085,0.10670616615617254,0.0971820001978803
XS007_ST_REV_21,weekly,calendar_quarter,2021Q2,13,0.08818143232225006,0.7223663298538167,0.020354609383050812,-0.0016738907681662278
XS007_ST_REV_21,weekly,calendar_quarter,2021Q3,13,-0.24367848945986292,-1.2377436896068277,-0.06865594670866411,-0.06478185650569254
XS007_ST_REV_21,weekly,calendar_quarter,2021Q4,14,-0.3866888704615271,-2.1323389941299604,-0.11103210708352809,0.030829777749403597
XS007_ST_REV_21,weekly,calendar_quarter,2022Q1,12,0.17085661260578452,0.744162159516072,0.028207530984263526,-0.000922146671467998
XS007_ST_REV_21,weekly,calendar_quarter,2022Q2,13,-0.3190415939941942,-2.25131937974117,-0.08823849268226304,0.0008854201718938512
XS007_ST_REV_21,weekly,calendar_quarter,2022Q3,14,0.0019476838839846647,0.022410393208407025,-0.0033750655301017993,0.029230295799304407
XS007_ST_REV_21,weekly,calendar_quarter,2022Q4,13,0.11786091280938304,0.6271400647592815,0.020827566913096632,0.05802951642222242
